"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902850","GO:1902850","40/1023","128/14937",9.38632980116904e-17,2.9041304404817e-13,2.39302008194015e-13,"AURKA/KNTC1/KIF2C/KIF4A/STIL/CDCA8/CENPF/NUF2/TTK/SKA1/CENPA/BIRC5/CDC20/KIF18A/ERCC6L/PLK1/BUB1/CENPO/BUB1B/CENPH/CCNB1/NDC80/KIF11/NUSAP1/DLGAP5/CENPK/CENPE/AURKB/CENPI/SPC25/WDR62/RCC1/MAD2L1/SPC24/TACC3/ESPL1/ZWINT/CENPL/STMN1/CENPM",40
"GO:0007052","GO:0007052","42/1023","157/14937",7.59050350858181e-15,1.17425089277761e-11,9.67589447251849e-12,"AURKA/KNTC1/KIF2C/KIF4A/STIL/CDCA8/CENPF/NUF2/TTK/SKA1/CENPA/BIRC5/CDC20/KIF18A/ERCC6L/PLK1/BUB1/TPX2/CENPO/BUB1B/CENPH/CCNB1/NDC80/KIF11/KIF23/KIFC1/FLNA/DLGAP5/CENPK/PRC1/CENPE/AURKB/CENPI/SPC25/WDR62/RCC1/MAD2L1/SPC24/ZWINT/CENPL/STMN1/CENPM",42
"GO:0030198","GO:0030198","55/1023","300/14937",1.40024472378564e-11,1.44411905846426e-08,1.18996235824871e-08,"MMP11/COL14A1/A2M/CTSG/ITGA8/COL11A1/ADAMTS1/TPSAB1/JAM2/FGF2/THSD4/DPT/GSN/FBLN5/ADAMTS8/GAS6/ADAMTSL4/SPP1/DCN/ADAMTSL3/LAMA2/RECK/LAMC3/SMOC2/JAM3/COL21A1/ADAMTS15/MMP13/NDNF/COL4A4/ITGA7/TLL1/MATN3/ADAMTS5/ELN/MFAP5/AGRN/COL6A2/SCUBE1/CREB3L1/ITGA9/GPM6B/ITGA5/ADAMTSL1/MMP1/FBN2/ITGB3/COL7A1/COL4A6/ADAMTS9/MMP12/ADAMTS4/FLRT2/MFAP2/ADAMTS12",55
"GO:0006936","GO:0006936","32/1023","129/14937",1.06720329397442e-10,8.25481747889214e-08,6.80201678422644e-08,"FXYD1/SGCA/ACTG2/CRYAB/DES/LMOD1/TMOD1/MYOM2/MYOM1/SORBS1/MYLK/CASQ2/ACTC1/MYL9/ACTA2/BDKRB2/CACNA1H/GNAO1/TPM2/DMD/SMTN/DTNA/TPM1/EDNRA/ACTA1/TNNT2/MYH11/SSPN/CALD1/GAMT/SLC8A1/SNTA1",32
"GO:0043062","GO:0043062","43/1023","216/14937",1.65096110875588e-10,9.93258130595427e-08,8.18450376723071e-08,"MMP11/COL14A1/ITGA8/COL11A1/ADAMTS1/JAM2/FGF2/THSD4/FBLN5/ADAMTS8/ADAMTSL4/SPP1/DCN/ADAMTSL3/LAMA2/RECK/LAMC3/SMOC2/JAM3/ADAMTS15/MMP13/NDNF/COL4A4/ITGA7/MATN3/ADAMTS5/ELN/MFAP5/AGRN/COL6A2/ITGA9/ITGA5/ADAMTSL1/MMP1/FBN2/ITGB3/COL7A1/COL4A6/ADAMTS9/MMP12/ADAMTS4/MFAP2/ADAMTS12",43
"GO:0045229","GO:0045229","43/1023","217/14937",1.92616314918312e-10,9.93258130595427e-08,8.18450376723071e-08,"MMP11/COL14A1/ITGA8/COL11A1/ADAMTS1/JAM2/FGF2/THSD4/FBLN5/ADAMTS8/ADAMTSL4/SPP1/DCN/ADAMTSL3/LAMA2/RECK/LAMC3/SMOC2/JAM3/ADAMTS15/MMP13/NDNF/COL4A4/ITGA7/MATN3/ADAMTS5/ELN/MFAP5/AGRN/COL6A2/ITGA9/ITGA5/ADAMTSL1/MMP1/FBN2/ITGB3/COL7A1/COL4A6/ADAMTS9/MMP12/ADAMTS4/MFAP2/ADAMTS12",43
"GO:0034508","GO:0034508","15/1023","37/14937",6.92304439838928e-09,3.05998562408806e-06,2.52144564404494e-06,"HJURP/CENPF/CENPA/MIS18A/CENPO/CENPH/OIP5/DLGAP5/CENPK/CENPE/CENPI/CENPL/CENPM/HELLS/CENPW",15
"GO:0008016","GO:0008016","24/1023","93/14937",9.86818007555956e-09,3.81651864422266e-06,3.14483317671122e-06,"FXYD1/ATP1A2/DES/ANK2/CELF2/ITPR1/ATP1B2/NPR1/CASQ2/HSPB7/PLN/FXYD6/CACNA1H/RYR3/PDE4D/ABCC9/TPM1/ATP2A3/TNNT2/TRPC1/NPR2/ATP2B4/RYR2/SLC8A1",24
"GO:0006260","GO:0006260","26/1023","108/14937",1.1747959914643e-08,4.03868755287837e-06,3.32790162728248e-06,"RECQL4/TIMELESS/ORC1/CLSPN/MCM2/DNA2/RNASEH2A/EXO1/BLM/CDC6/CDC45/CDC7/WDHD1/BRCA1/FAM111B/MCM10/ORC6/BRIP1/CDK1/MCM4/PIF1/CHEK1/FEN1/DONSON/POLE2/RMI2",26
"GO:0000070","GO:0000070","25/1023","102/14937",1.51784045347028e-08,4.69619836303705e-06,3.86969429295266e-06,"KIF18B/SPAG5/KIF14/KIF2C/CDCA8/NCAPH/CDCA5/KIF18A/PLK1/CCNB1/CDK1/NDC80/KIF23/KIFC1/NCAPG2/NCAPG/NUSAP1/DLGAP5/CENPK/PRC1/CENPE/CEP55/ESPL1/ZWINT/PSRC1",25
