"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","GO:0003779","30/784","177/11936",1.38825789456463e-06,0.000343813276571414,0.000300031675903065,"SYNPO2/LDB3/TMOD1/SORBS1/MYRIP/LRRK2/GSN/SYNE1/PDLIM4/PDLIM3/KIF18A/KCNMA1/SYNPO/TPM2/FERMT2/DMD/SMTN/ANLN/TPM1/NCALD/CAP2/TNNT2/MAP1B/CALD1/MAP1A/CORO2B/PARVA/PDLIM7/SNCA/COBL",30
"GO:0015631","GO:0015631","43/784","307/11936",1.82144080355327e-06,0.000343813276571414,0.000300031675903065,"TPPP/KIF26B/KIF18B/CCDC69/SPAG5/KIF14/KIF2C/LRRK2/TPPP3/SKA1/KIF15/KIF20A/BIRC5/KIF26A/KIF18A/BRCA1/PLK1/GTSE1/REEP1/TPX2/FGF13/DIXDC1/KIF23/KIFC1/NUSAP1/DLGAP5/PRC1/CENPE/STARD9/BRCA2/UNC5C/NAV3/NCALD/RACGAP1/STMN1/MAP1B/SYBU/MAP1A/CLIP3/REEP2/PSRC1/SNCA/TTLL7",43
"GO:0003777","GO:0003777","15/784","56/11936",2.05057620221519e-06,0.000343813276571414,0.000300031675903065,"KIF26B/KIF18B/KIF14/KIF2C/KIF4A/KIF15/KIF20A/KIF26A/KIF18A/KIF24/KIF11/KIF23/KIFC1/CENPE/STARD9",15
"GO:0001067","GO:0001067","32/784","212/11936",8.07550767394034e-06,0.000822378908225107,0.000717656178151867,"PER1/SOX17/GATA5/SOX10/JUND/CRY2/FOS/EGR1/SOX4/MEF2C/KLF4/PER2/GATA6/BRCA1/HAND2/KCNH2/TFEB/ATF3/PER3/THRA/HDAC4/EGR2/CREB3L1/ARID5A/SIX1/BNC2/SOX7/PRDM16/KLF15/TAL1/SNCA/PITX2",32
"GO:0008017","GO:0008017","34/784","232/11936",8.17474063842055e-06,0.000822378908225107,0.000717656178151867,"TPPP/KIF26B/KIF18B/CCDC69/SPAG5/KIF14/KIF2C/LRRK2/SKA1/KIF15/KIF20A/BIRC5/KIF26A/KIF18A/PLK1/GTSE1/REEP1/TPX2/FGF13/KIF23/KIFC1/NUSAP1/DLGAP5/PRC1/CENPE/STARD9/NAV3/RACGAP1/MAP1B/SYBU/MAP1A/CLIP3/REEP2/PSRC1",34
"GO:0003774","GO:0003774","15/784","66/11936",1.82613592548642e-05,0.00135161469649652,0.00117949843766673,"KIF26B/KIF18B/KIF14/KIF2C/KIF4A/KIF15/KIF20A/KIF26A/KIF18A/KIF24/KIF11/KIF23/KIFC1/CENPE/STARD9",15
"GO:0004222","GO:0004222","17/784","82/11936",1.88097472673472e-05,0.00135161469649652,0.00117949843766673,"MMP11/ADAM33/ADAMTS1/THSD4/ADAMTS8/ADAMTSL4/ADAMTSL3/ECE2/ADAMTS15/MMP13/ADAMTS5/ADAMTSL1/MMP1/ADAMTS9/MMP12/ADAMTS4/ADAMTS12",17
"GO:0005509","GO:0005509","43/784","348/11936",4.35948889620743e-05,0.00274102864349042,0.00239198272331381,"CLEC3B/SPARCL1/AOC3/SLIT3/ITPR1/PCP4/PLA2G4C/RGN/RASGRP2/MASP1/CASQ2/NRXN1/GSN/MELK/ANXA6/LTBP4/SLIT2/SMOC2/PLA2G2A/RYR3/NAALADL1/SLC25A23/SELP/MMP13/PLSCR4/C1R/TRPM2/AGRN/SCUBE1/S100B/NCS1/DCHS1/FBLN1/RYR2/ENPP2/SYT15/PADI1/COLEC11/SLC8A1/MMP12/SYT11/SNCA/ENPP1",43
"GO:0019887","GO:0019887","17/784","98/11936",0.000197229924177233,0.0107849242803015,0.00941155890946059,"CCNE1/CCNE2/CCNB2/TPX2/FGF13/CCNB1/PPP1R1B/CCND2/SOCS3/CCNA2/PRKAR2B/PRKAG2/NCKAP1L/CDKN1C/PARVA/GMFG/SNCA",17
"GO:0008179","GO:0008179","5/784","10/11936",0.000230362952618331,0.0107849242803015,0.00941155890946059,"ADCY5/AKAP12/AKAP6/CAP2/ADCY2",5
"GO:0051371","GO:0051371","6/784","15/11936",0.00023585321487737,0.0107849242803015,0.00941155890946059,"SYNPO2/LDB3/PDLIM4/PDLIM3/PALLD/PDLIM7",6
"GO:0030551","GO:0030551","7/784","23/11936",0.000496504392297018,0.02081180911045,0.0181616080340225,"PDE2A/PDE4B/PDE5A/PDE4D/SLC19A1/BVES/POPDC2",7
"GO:0030552","GO:0030552","5/784","12/11936",0.000648018467222981,0.0237708987351306,0.0207438835880495,"PDE2A/PDE4B/PDE4D/BVES/POPDC2",5
"GO:0051393","GO:0051393","7/784","24/11936",0.000661615471753137,0.0237708987351306,0.0207438835880495,"SYNPO2/LDB3/PDLIM4/PDLIM3/PALLD/CACNA1C/PDLIM7",7
"GO:0019900","GO:0019900","48/784","461/11936",0.000973914006130521,0.0314806071390267,0.0274718283498464,"PER1/NR4A3/ANK2/ZFP36/AURKA/MYOM2/MYOM1/FOXM1/KIF14/GSN/DLG2/GATA6/ACTA2/BORA/KIF20A/CDC6/CDC25C/CAV1/PLK1/TPX2/CCNB1/RHOB/KIF11/FLNA/CKS2/RAC3/PRC1/CIT/GHR/AURKB/CCND2/FERMT2/CKS1B/CDC25A/CCNA2/UNC5C/RACGAP1/ADRA2A/PRKAG2/IRAK3/MAPK8IP2/ESR1/NBEA/TFRC/CSPG4/IRF5/RND3/RHOH",48
"GO:0017116","GO:0017116","6/784","19/11936",0.00101888074103091,0.0314806071390267,0.0274718283498464,"POLQ/MCM2/DNA2/RAD51/PIF1/DSCC1",6
"GO:0000217","GO:0000217","8/784","33/11936",0.00106395690131899,0.0314806071390267,0.0274718283498464,"XRCC2/RECQL4/HMGB3/MEF2C/CLSPN/BLM/RAD51AP1/HAND2",8
