TERM_ID	TERM	OVERLAPP_VALUE	ADJUSTED_P_VALUE	OLD_P_VALUE	OLD_ADJUSTED_P_VALUE	ODDS_RATIO	COMBINED_SCORE	GENES
GO:1990837	sequence-specific double-stranded DNA binding (GO:1990837)	78/712	1.31207575904508E-7	4.667389358618618E-5	0	0	2.009021571845213	31.83593064275446	BNC2;THRA;TCF21;SIX1;MCM10;BRCA1;MEOX2;MEOX1;NR3C2;SOX17;SIX4;CREB3L1;MYBL2;PITX2;JUNB;PITX1;SOX7;SOX4;PKNOX2;TSPYL2;KCNH2;MEF2C;TFEB;ARID5A;FOS;SOX10;KLF15;ETV4;HIC1;TAL1;HAND2;CRY2;MCM4;KIF2C;IRF5;ATF3;JDP2;MCM2;CREB5;HDAC4;NFIX;HLF;CEBPD;SRF;GATA6;CREM;GATA5;CDC45;ORC1;PRDM16;E2F1;E2F2;MSX1;OTX1;E2F7;E2F8;SNCA;EGR1;EGR2;JUND;EGR3;NR2F1;CDC6;KLF4;ESR1;KLF2;NFATC4;POU6F1;FOSL1;PER2;NR4A2;PER1;NR4A1;KLF6;PER3;NFIB;MAFF;FOSB
GO:0015631	tubulin binding (GO:0015631)	43/307	1.5484983871088975E-7	4.667389358618618E-5	0	0	2.6311734505332067	41.258930881473844	LRRK2;CCDC69;DIXDC1;KIF14;BRCA1;BRCA2;SKA1;NCALD;KIF15;RACGAP1;STMN1;NUSAP1;TPPP;GTSE1;DLGAP5;SYBU;SNCA;SPAG5;STARD9;PLK1;UNC5C;KIF23;TTLL7;CLIP3;REEP1;TPX2;CENPE;TPPP3;KIF18A;KIF18B;PSRC1;NAV3;KIFC1;KIF26A;PRC1;MAP1B;KIF26B;MAP1A;REEP2;BIRC5;KIF2C;KIF20A;FGF13
GO:0003779	actin binding (GO:0003779)	30/177	1.9501626846595896E-7	4.667389358618618E-5	0	0	3.2804232804232805	50.68313952050719	LRRK2;SYNPO2;LDB3;NCALD;SYNE1;PDLIM3;CALD1;DMD;SYNPO;PDLIM4;PDLIM7;SNCA;CAP2;TMOD1;GSN;TPM2;TPM1;COBL;PARVA;MYRIP;SORBS1;CORO2B;ANLN;KIF18A;SMTN;MAP1B;TNNT2;MAP1A;KCNMA1;FERMT2
GO:0003777	microtubule motor activity (GO:0003777)	15/56	6.190589086928998E-7	1.111210741103755E-4	0	0	5.838725734196117	83.46496623043011	STARD9;KIF14;KIF24;KIF23;KIF11;KIF15;CENPE;KIF18A;KIF18B;KIFC1;KIF26A;KIF4A;KIF26B;KIF2C;KIF20A
GO:0008017	microtubule binding (GO:0008017)	34/232	1.0667828583524593E-6	1.3633985146335468E-4	0	0	2.7621679194712905	37.982192955918	LRRK2;CCDC69;KIF14;SKA1;KIF15;RACGAP1;NUSAP1;TPPP;GTSE1;DLGAP5;SYBU;SPAG5;STARD9;PLK1;KIF23;CLIP3;REEP1;TPX2;CENPE;KIF18A;KIF18B;PSRC1;NAV3;KIFC1;KIF26A;PRC1;MAP1B;KIF26B;MAP1A;REEP2;BIRC5;KIF2C;KIF20A;FGF13
GO:0001067	transcription regulatory region nucleic acid binding (GO:0001067)	32/212	1.1393302350698162E-6	1.3633985146335468E-4	0	0	2.8574825040743934	39.104848038621206	HDAC4;BNC2;THRA;GATA6;GATA5;SIX1;BRCA1;SOX17;CREB3L1;PRDM16;PITX2;SOX7;SOX4;SNCA;KCNH2;EGR1;MEF2C;EGR2;JUND;TFEB;ARID5A;FOS;KLF4;SOX10;KLF15;PER2;PER1;PER3;TAL1;HAND2;CRY2;ATF3
GO:0005509	calcium ion binding (GO:0005509)	43/348	4.631003032689599E-6	4.650370274972599E-4	0	0	2.272439595590335	27.911778072816062	RYR2;COLEC11;C1R;NRXN1;LTBP4;ITPR1;FBLN1;RASGRP2;RYR3;SLC8A1;TRPM2;CLEC3B;SCUBE1;NCS1;ANXA6;ENPP2;ENPP1;SLIT3;SLIT2;SLC25A23;SNCA;AOC3;GSN;PLA2G4C;PLA2G2A;SYT15;S100B;NAALADL1;MMP12;SELP;SMOC2;PCP4;MMP13;MELK;SYT11;PLSCR4;RGN;CASQ2;SPARCL1;DCHS1;MASP1;AGRN;PADI1
GO:0004222	metalloendopeptidase activity (GO:0004222)	17/82	5.404070453454956E-6	4.650370274972599E-4	0	0	4.175704363779321	50.64443784645621	MMP1;ADAM33;ECE2;ADAMTS12;THSD4;ADAMTSL1;ADAMTS4;MMP12;ADAMTS5;MMP11;ADAMTS15;MMP13;ADAMTS1;ADAMTSL4;ADAMTSL3;ADAMTS8;ADAMTS9
GO:0003774	motor activity (GO:0003774)	15/66	5.829154940773453E-6	4.650370274972599E-4	0	0	4.691376550620248	56.54346571753963	STARD9;KIF14;KIF24;KIF23;KIF11;KIF15;CENPE;KIF18A;KIF18B;KIFC1;KIF26A;KIF4A;KIF26B;KIF2C;KIF20A
GO:0043565	sequence-specific DNA binding (GO:0043565)	71/707	1.0802578566163619E-5	7.128191837834908E-4	0	0	1.8113811208445643	20.714457629263787	CSRNP1;TCF21;SIX1;MEOX2;MEOX1;NR3C2;SIX4;CREB3L1;MYBL2;PITX2;JUNB;PITX1;SOX7;SOX4;PKNOX2;MEF2C;TFEB;ARID5A;FOS;SOX10;KLF15;ETV4;FOXP2;HIC1;MMP12;ZEB2;HAND2;IRF5;ATF3;JDP2;CREB5;HDAC4;PIF1;NFIX;HLF;CEBPD;UHRF1;SRF;GATA6;CREM;GATA5;PRDM16;E2F1;E2F2;NLRP3;MSX1;OTX1;ZNF423;PPARGC1A;E2F7;E2F8;EGR1;EGR2;JUND;EGR3;FOXF1;NR2F1;KLF4;TBX5;ESR1;KLF2;NFATC4;POU6F1;FOSL1;NR4A2;NR4A1;KLF6;NFIB;MAFF;BCL2;FOSB
GO:0046872	metal ion binding (GO:0046872)	56/517	1.0920628163813926E-5	7.128191837834908E-4	0	0	1.963721845824534	22.435241404244437	TOP2A;RYR2;FEN1;LRRK2;MT1M;SLC8A1;RYR3;NCS1;ANXA6;ENPP2;ENPP1;CSGALNACT1;PLA2G4C;IRAK3;GEM;NAALADL1;MMP12;PCP4;MMP13;MELK;PLSCR4;RGN;CASQ2;SPARCL1;MASP1;PADI1;PIF1;COLEC11;C1R;NRXN1;ITPR1;LTBP4;ADCY2;FBLN1;RASGRP2;TRPM2;CLEC3B;SCUBE1;SLIT3;TPPP;SLIT2;SLC25A23;SNCA;AOC3;GSN;EPHX2;PLK1;PDE2A;PLA2G2A;SYT15;S100B;SELP;SMOC2;SYT11;DCHS1;AGRN
