TERM_ID	TERM_LABEL_FULL	OVERLAP	P_VALUE	ADJUSTED_P_VALUE	OLD_P_VALUE	OLD_ADJUSTED_P_VALUE	ODDS_RATIO	COMBINED_SCORE	GENES
GO:1902850	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	40/128	8.250674192586839E-19	3.3530739918672913E-15	0	0	7.393175894479109	307.84313397271876	ERCC6L;BUB1B;CDCA8;TTK;WDR62;KIF11;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB1;STMN1;NUF2;NUSAP1;RCC1;KNTC1;BUB1;DLGAP5;STIL;PLK1;NDC80;ZWINT;CENPE;KIF18A;CENPF;ESPL1;CENPH;CENPI;KIF4A;CENPK;CENPL;TACC3;BIRC5;CENPM;KIF2C;CENPO;SPC24;MAD2L1;SPC25
GO:0007052	mitotic spindle organization (GO:0007052)	42/157	6.435006470647902E-17	1.3075933148356536E-13	0	0	5.942013849472131	221.53131150798208	ERCC6L;BUB1B;CDCA8;TTK;WDR62;KIF11;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB1;STMN1;NUF2;RCC1;FLNA;KNTC1;BUB1;DLGAP5;STIL;PLK1;KIF23;NDC80;ZWINT;TPX2;CENPE;KIF18A;CENPF;CENPH;KIFC1;CENPI;PRC1;KIF4A;CENPK;CENPL;BIRC5;CENPM;KIF2C;CENPO;SPC24;MAD2L1;SPC25
GO:0030198	extracellular matrix organization (GO:0030198)	55/300	6.310259777705615E-14	8.548298578865206E-11	0	0	3.6685110663983904	111.50077838778614	COL14A1;LAMC3;ELN;ITGB3;FGF2;ADAMTSL1;ADAMTS4;ADAMTS5;ADAMTSL4;ADAMTS1;CREB3L1;ADAMTSL3;CTSG;TPSAB1;ADAMTS8;ADAMTS9;MMP1;DCN;MMP12;MMP11;MMP13;COL4A4;COL6A2;COL4A6;ITGA8;COL21A1;ITGA7;ITGA5;GAS6;MATN3;ITGA9;FBN2;LAMA2;COL11A1;DPT;NDNF;ADAMTS12;FBLN5;THSD4;ADAMTS15;SCUBE1;FLRT2;SPP1;A2M;GPM6B;JAM2;JAM3;GSN;MFAP5;SMOC2;COL7A1;MFAP2;TLL1;AGRN;RECK
GO:0043062	extracellular structure organization (GO:0043062)	43/216	2.0259210717772794E-12	1.9379850171220856E-9	0	0	4.034903627318684	108.63976672336567	FBN2;LAMA2;COL14A1;LAMC3;ELN;COL11A1;ITGB3;NDNF;ADAMTS12;FGF2;FBLN5;THSD4;ADAMTSL1;ADAMTS4;ADAMTS15;ADAMTS5;ADAMTSL4;ADAMTS1;ADAMTSL3;SPP1;ADAMTS8;ADAMTS9;JAM2;JAM3;MMP1;DCN;MMP12;MFAP5;MMP11;SMOC2;MMP13;COL4A4;COL6A2;COL7A1;MFAP2;COL4A6;ITGA8;ITGA7;ITGA5;AGRN;RECK;MATN3;ITGA9
GO:0045229	external encapsulating structure organization (GO:0045229)	43/217	2.3843319600419364E-12	1.9379850171220856E-9	0	0	4.011499259081261	107.35615287170891	FBN2;LAMA2;COL14A1;LAMC3;ELN;COL11A1;ITGB3;NDNF;ADAMTS12;FGF2;FBLN5;THSD4;ADAMTSL1;ADAMTS4;ADAMTS15;ADAMTS5;ADAMTSL4;ADAMTS1;ADAMTSL3;SPP1;ADAMTS8;ADAMTS9;JAM2;JAM3;MMP1;DCN;MMP12;MFAP5;MMP11;SMOC2;MMP13;COL4A4;COL6A2;COL7A1;MFAP2;COL4A6;ITGA8;ITGA7;ITGA5;AGRN;RECK;MATN3;ITGA9
GO:0006936	muscle contraction (GO:0006936)	32/129	3.0129474158770627E-12	2.040769716354064E-9	0	0	5.326169911850778	141.29318033321448	MYOM1;LMOD1;ACTG2;SLC8A1;CACNA1H;MYOM2;MYLK;EDNRA;SGCA;CALD1;BDKRB2;MYH11;DMD;SNTA1;GAMT;TMOD1;DTNA;TPM2;TPM1;SORBS1;GNAO1;ACTA2;ACTA1;SMTN;DES;ACTC1;TNNT2;FXYD1;SSPN;CASQ2;MYL9;CRYAB
GO:0042127	regulation of cell population proliferation (GO:0042127)	95/764	5.70728520362761E-12	3.313486723934658E-9	0	0	2.350304954556861	60.84769753367932	BTG2;CSF3;TFRC;ELN;TGFB1I1;RTKN2;HILPDA;KIF14;SIX1;ADARB1;FOXM1;AREG;CLU;FGF2;CX3CL1;RERG;FGF7;CCND2;SIX4;ADAMTS1;MYC;RPS6KA2;SPEG;ADAMTS8;JUNB;SOX7;IL6R;SOX4;KRT6A;PDGFRA;MYOCD;IL11RA;MAGI2;LIFR;WNT9A;CBFA2T3;ADRA2A;TGFBR2;CLDN5;AZGP1;SFRP1;SAPCD2;CEACAM6;KIT;AGTR1;TIMELESS;BIRC5;ROR2;NUPR1;IL6ST;HBEGF;KANK2;HDAC4;PTGFR;UHRF1;CDCA7;TTK;GRK5;EPCAM;PDGFD;NACC2;IGFBP6;WNT2;E2F7;NTRK2;WWTR1;JUND;TSLP;IL34;CDC7;CDC6;IGF1;INHBA;KLF4;TBX5;PODN;S100B;MAPK15;SHCBP1;BMP5;FOSL1;SQLE;BST1;IL6;NR4A3;FABP6;PRC1;ID2;DLC1;BCL2;FOLR2;CD200;EZH2;CDKN3;FGFR1
GO:0008016	regulation of heart contraction (GO:0008016)	24/93	6.499795937389899E-10	2.97784429241176E-7	0	0	5.585484892515182	118.15579508047706	RYR2;NPR1;CELF2;TRPC1;PDE4D;NPR2;HSPB7;TPM1;ATP2A3;ITPR1;ATP2B4;ABCC9;ANK2;ATP1A2;ATP1B2;RYR3;SLC8A1;CACNA1H;PLN;DES;TNNT2;FXYD1;CASQ2;FXYD6
GO:0006260	DNA replication (GO:0006260)	26/108	6.594635490085098E-10	2.97784429241176E-7	0	0	5.096849157332775	107.74532398526766	PIF1;BLM;FEN1;RNASEH2A;MCM10;BRCA1;RECQL4;BRIP1;ORC6;CDC45;ORC1;EXO1;CHEK1;CLSPN;WDHD1;RMI2;DONSON;CDC7;CDC6;FAM111B;POLE2;TIMELESS;CDK1;MCM4;DNA2;MCM2
GO:0000070	mitotic sister chromatid segregation (GO:0000070)	25/102	9.3501190029017E-10	3.799888362779251E-7	0	0	5.215967565881803	108.44237473696538	CDCA5;NCAPG2;KIF14;NCAPG;CDCA8;NCAPH;CCNB1;NUSAP1;CEP55;DLGAP5;SPAG5;PLK1;KIF23;NDC80;ZWINT;CENPE;KIF18A;KIF18B;PSRC1;ESPL1;KIFC1;PRC1;CENPK;CDK1;KIF2C
GO:0034508	centromere complex assembly (GO:0034508)	15/37	1.0408407207868268E-9	3.8454333538887855E-7	0	0	10.892277365491651	225.2875549280739	HELLS;CENPW;HJURP;CENPA;CENPE;CENPF;MIS18A;CENPH;CENPI;CENPK;CENPL;CENPM;OIP5;CENPO;DLGAP5
GO:0008284	positive regulation of cell population proliferation (GO:0008284)	63/474	1.7564540152493665E-9	5.948524264977855E-7	0	0	2.500116477713931	50.4022702478981	CSF3;PID1;RTKN2;HILPDA;KIF14;FOXM1;AREG;FGF2;CX3CL1;AQP1;FGF7;CCND2;HYAL1;MYC;RBPMS2;IL6R;SOX4;KRT6A;PDGFRA;MEF2C;IL11RA;LIFR;ADRA2A;TGFBR2;TGFBR3;CLDN5;SFRP1;SAPCD2;CEACAM6;BIRC5;GAS6;IL6ST;TOX;ZFPM2;HBEGF;HDAC4;PTGFR;TTK;GRK5;EPCAM;PDGFD;E2F1;WNT2;NTRK2;WWTR1;TSLP;IL34;CDC7;IGF1;S100B;MAPK15;BMP5;FOSL1;BST1;IL6;NR4A3;PRC1;ID2;BCL2;FOLR2;NES;EZH2;FGFR1
GO:0007411	axon guidance (GO:0007411)	36/203	3.483882659983352E-9	1.0462044874649676E-6	0	0	3.479337429038028	67.76050858658772	SEMA5B;LAMA2;NRXN1;SEMA3B;NRXN3;SEMA3G;NEXN;SEMA3E;NTN1;IGSF9;RAP1GAP;RELN;TUBB3;SLIT3;NCAM1;SLIT2;EPHB2;SCN1B;PDLIM7;SPTBN2;EPHA7;BDNF;RHOH;UNC5C;GFRA1;L1CAM;GFRA3;EFNA3;CXCL12;NFIB;PALLD;FEZ1;DOK6;CNTN4;LGR6;EPHA3
GO:0007517	muscle organ development (GO:0007517)	18/58	3.6040508918576642E-9	1.0462044874649676E-6	0	0	7.200383631713555	139.98415137351168	MEF2C;TAGLN;EGR3;LAMA2;FHL1;TCF21;IGF1;CACNA1H;POU6F1;SGCE;SMTN;SGCD;SGCA;SPEG;ITGA7;DMD;BVES;HBEGF
GO:0051383	kinetochore organization (GO:0051383)	9/13	5.258638063365261E-9	1.4247403393010946E-6	0	0	35.796319796954315	682.399339700151	CDT1;CENPE;CENPF;CENPW;CENPH;NUF2;CENPA;NDC80;DLGAP5
GO:1903779	regulation of cardiac conduction (GO:1903779)	17/55	1.0488504995208071E-8	2.6640802687828503E-6	0	0	7.152940912758899	131.42088283288925	RYR2;NPR1;TRPC1;NPR2;ATP2A3;ITPR1;ATP2B4;ABCC9;ANK2;ATP1A2;ATP1B2;TBX5;RYR3;SLC8A1;FXYD1;CASQ2;FXYD6
GO:0048522	positive regulation of cellular process (GO:0048522)	74/625	1.1602434363609309E-8	2.7736643090416607E-6	0	0	2.1952306135016175	40.11136551135366	RYR2;CSF3;RTKN2;HILPDA;KIF14;FOXM1;AREG;FGF2;CX3CL1;ZFP36;FGF7;CCND2;HYAL1;MYC;CHEK1;IL6R;SOX4;KRT6A;PDGFRA;IL11RA;TPM1;LIFR;DKK1;ADRA2A;TGFBR2;CLDN5;SFRP1;SAPCD2;ACOX2;TAL1;CEACAM6;MAP1A;BIRC5;NUPR1;GAS6;IL6ST;HBEGF;HDAC4;COLEC12;PTGFR;PRKAA2;SRF;TTK;AKAP6;ACACB;GRK5;EPCAM;PDGFD;TPPP;WNT2;TUB;NTRK2;WWTR1;EGR2;TSLP;SPAG5;FZD7;IL34;CAV1;CDC7;CDC6;IGF1;S100B;MAPK15;BMP5;FOSL1;BST1;IL6;CXCL12;PRC1;BCL2;FOLR2;EZH2;FGFR1
GO:0000819	sister chromatid segregation (GO:0000819)	13/34	3.1781367577860196E-8	6.85373116916482E-6	0	0	9.873231465761178	170.45527557842357	TOP2A;SPAG5;NCAPG2;PLK1;CDCA8;ZWINT;NDC80;KIF18A;KIF18B;ESPL1;KIFC1;CENPK;NUSAP1
GO:0007409	axonogenesis (GO:0007409)	38/240	3.2042542375524504E-8	6.85373116916482E-6	0	0	3.0358427863601625	52.387114442555834	SEMA5B;LAMA2;NRXN1;SEMA3B;NRXN3;SEMA3G;NEXN;SEMA3E;IGSF9;RAP1GAP;RELN;TUBB3;NRCAM;SLIT3;NCAM1;APBB1;SLIT2;EPHB2;SCN1B;PDLIM7;SPTBN2;EPHA7;BDNF;UNC5C;GFRA1;L1CAM;GFRA3;S100B;EFNA3;CXCL12;PALLD;FEZ1;MAP1B;DOK6;MAP1A;CNTN4;LGR6;EPHA3
GO:0048523	negative regulation of cellular process (GO:0048523)	67/566	5.826344375681489E-8	1.1839131771384785E-5	0	0	2.1872392471776294	36.43566781584543	BTG2;TGFB1I1;FHL1;WFDC1;ADARB1;FOXM1;CLU;FGF2;RERG;SOX17;ADAMTS1;HYAL1;MYC;RPS6KA2;ANXA6;ENPP1;DACT3;SPEG;EMILIN1;ADAMTS8;EPHB2;SOX7;CD34;SOX4;TSPYL2;MYOCD;DUSP1;MAGI2;WNT9A;CBFA2T3;RHOB;TGFBR3;AZGP1;SFRP1;PSRC1;ROR2;NUPR1;CRYAB;KANK2;BLM;NPR1;FBLN1;ORC6;NACC2;SLIT3;IGFBP6;APBB1;MSX1;SLIT2;JAM2;E2F7;ANGPT1;CDC6;INHBA;KLF4;TBX5;PODN;BMP5;NR4A1;IL6;FABP6;SYT11;DLC1;BCL2;FERMT2;CD200;CDKN3
GO:0030334	regulation of cell migration (GO:0030334)	53/408	7.407604266613515E-8	1.4335477971198727E-5	0	0	2.4210054704324366	39.748488264178455	SEMA5B;CLIC4;FAM107A;KIF14;ADARB1;LDB2;FGF2;CX3CL1;MYLK;FGF7;ENPP2;EPHB2;GTSE1;PDGFRA;IGFBP5;HGF;TPM1;MAGI2;MITF;ADRA2A;RHOB;CLDN5;SFRP1;NAV3;CEACAM6;KIT;MYADM;ROR2;HBEGF;LRRC15;SEMA3B;SEMA3G;TWIST2;STC1;NEXN;SEMA3E;PDGFD;FLNA;SLIT2;NGFR;F10;CAV1;IGF1;TBX5;PODN;MAPK15;IGSF10;CXCL12;DLC1;AMOTL1;LGR6;RECK;FERMT2
GO:0000281	mitotic cytokinesis (GO:0000281)	15/49	8.89916988365231E-8	1.6439193821437723E-5	0	0	7.043442376950781	114.34833414654408	PLK1;CKAP2;KIF23;CENPA;RHOB;CIT;ANLN;ESPL1;RACGAP1;KIF4A;STMN1;NUSAP1;KIF20A;ECT2;CEP55
GO:0007094	mitotic spindle assembly checkpoint signaling (GO:0007094)	10/21	1.0413111928049238E-7	1.6927554750236842E-5	0	0	14.470017704564698	232.64337325708448	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT;MAD2L1
GO:0071174	mitotic spindle checkpoint signaling (GO:0071174)	10/21	1.0413111928049238E-7	1.6927554750236842E-5	0	0	14.470017704564698	232.64337325708448	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT;MAD2L1
GO:0071173	spindle assembly checkpoint signaling (GO:0071173)	10/21	1.0413111928049238E-7	1.6927554750236842E-5	0	0	14.470017704564698	232.64337325708448	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT;MAD2L1
GO:0031055	chromatin remodeling at centromere (GO:0031055)	12/32	1.3954572945808976E-7	2.181207094298757E-5	0	0	9.561832061068703	150.93230931779735	HELLS;CENPW;MIS18A;CENPH;CENPI;CENPK;HJURP;CENPL;CENPM;OIP5;CENPO;CENPA
GO:0045841	negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	10/22	1.8070557784952082E-7	2.7199535865942685E-5	0	0	13.26347727914197	205.9340108098983	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT;MAD2L1
GO:0044772	mitotic cell cycle phase transition (GO:0044772)	33/209	2.7125865755814204E-7	3.937125658272462E-5	0	0	3.0170012953367875	45.617641913011106	ABCB1;PKMYT1;FOXM1;FBXL22;AURKA;CCNB2;CCNB1;CCND2;PRKAR2B;MYC;EIF4EBP1;E2F1;RCC1;NEK2;SKP2;PLK4;BORA;UBE2C;PLK1;CDC7;INHBA;CDC25C;CDC25A;CCNA2;MELK;CCNE2;CCNE1;TACC3;CDK1;PPP1R12B;NES;FBXL7;CDKN3
GO:0061641	CENP-A containing chromatin organization (GO:0061641)	11/30	6.090738465173488E-7	8.250920374155018E-5	0	0	9.21900089206066	131.9361300916469	CENPW;MIS18A;CENPH;CENPI;CENPK;HJURP;CENPL;CENPM;OIP5;CENPO;CENPA
GO:0034080	CENP-A containing nucleosome assembly (GO:0034080)	11/30	6.090738465173488E-7	8.250920374155018E-5	0	0	9.21900089206066	131.9361300916469	CENPW;MIS18A;CENPH;CENPI;CENPK;HJURP;CENPL;CENPM;OIP5;CENPO;CENPA
GO:0010564	regulation of cell cycle process (GO:0010564)	21/106	9.690497738598265E-7	1.270392993860108E-4	0	0	3.953785822021116	54.7478740353475	PLK4;RMI2;BORA;SPAG5;PLK1;KLHL13;KIF11;MKI67;CDC25C;PKMYT1;AURKB;AURKA;SFRP1;RACGAP1;PRC1;CHEK1;RCC1;NEK2;KIF20A;ECT2;BUB1
GO:0051726	regulation of cell cycle (GO:0051726)	40/296	1.062809914114118E-6	1.3497685909249298E-4	0	0	2.518597958297133	34.642293108106806	GATA6;ADARB1;BRCA1;FOXM1;FBXL22;CKS1B;RNF112;CCNB2;CCNB1;GRK5;MYC;RPS6KA2;CHEK1;MYBL2;APBB1;SKP2;JUNB;DLGAP5;TSPYL2;JUND;GADD45B;DUSP1;PLK1;MAGI2;INHBA;CDC25A;RHOB;PER2;NR4A1;SFRP1;CENPF;BIN1;ID2;CKS2;BIRC5;NUPR1;PRR11;DTL;CDKN3;BIRC3
GO:0006336	DNA replication-independent nucleosome assembly (GO:0006336)	12/39	1.6383101543949006E-6	2.0176037780184473E-4	0	0	7.080199792667986	94.32132591335615	CENPW;MIS18A;CENPH;CENPI;CENPK;HJURP;CENPL;CENPM;OIP5;CENPO;CENPA;ASF1B
GO:0090068	positive regulation of cell cycle process (GO:0090068)	20/101	1.7600050338913682E-6	2.1037236640395648E-4	0	0	3.9489304277234822	52.32409382053149	PLK4;SVIL;FEN1;SPAG5;KIF14;CDC7;KIF23;IGF1;CDC6;NDC80;AURKB;CIT;AURKA;CCNB1;RACGAP1;NUSAP1;ECT2;E2F7;E2F8;MAD2L1
GO:1904029	regulation of cyclin-dependent protein kinase activity (GO:1904029)	14/54	2.242889152315732E-6	2.60431471857461E-4	0	0	5.581265930331351	72.5996880343832	CDKN1C;DIRAS3;BLM;CDC6;CDC25C;PKMYT1;CDC25A;CCNA2;CCNB2;CCNB1;CCND2;CCNE2;CCNE1;CDKN3
GO:0086012	membrane depolarization during cardiac muscle cell action potential (GO:0086012)	8/17	2.3150529241637518E-6	2.613437523278191E-4	0	0	14.126044895275664	183.30066052365416	CACNB2;CACNA2D1;ATP1A2;ANK2;CACNA1C;SCN4B;SLC8A1;SCN1B
