"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"go-bp_2021_gene_set (1)","microtubule cytoskeleton organization involved in mitosis (GO:1902850)","GO:1902850","3.977566453511911e-18","17.4003825558291","128","718","39","14937","AURKA,KNTC1,KIF2C,KIF4A,STIL,CDCA8,CENPF,NUF2,TTK,SKA1,CENPA,BIRC5,CDC20,KIF18A,ERCC6L,PLK1,BUB1,CENPO,BUB1B,CENPH,CCNB1,NDC80,KIF11,NUSAP1,DLGAP5,CENPK,CENPE,AURKB,CENPI,SPC25,WDR62,RCC1,MAD2L1,SPC24,TACC3,ESPL1,ZWINT,CENPL,STMN1"
"go-bp_2021_gene_set (1)","mitotic spindle organization (GO:0007052)","GO:0007052","7.535461578202792e-17","16.12289014020047","157","585","38","14937","AURKA,KNTC1,KIF2C,KIF4A,STIL,CDCA8,CENPF,NUF2,TTK,SKA1,CENPA,BIRC5,CDC20,KIF18A,ERCC6L,PLK1,BUB1,TPX2,CENPO,BUB1B,CENPH,CCNB1,NDC80,KIF11,KIF23,KIFC1,FLNA,DLGAP5,CENPK,PRC1,CENPE,AURKB,CENPI,SPC25,WDR62,RCC1,MAD2L1,SPC24"
"go-bp_2021_gene_set (1)","DNA replication (GO:0006260)","GO:0006260","4.906531163200489e-10","9.309225438445134","108","581","25","14937","RECQL4,TIMELESS,ORC1,CLSPN,MCM2,DNA2,RNASEH2A,EXO1,BLM,CDC6,CDC45,CDC7,WDHD1,BRCA1,FAM111B,MCM10,ORC6,BRIP1,CDK1,MCM4,PIF1,CHEK1,FEN1,DONSON,POLE2"
"go-bp_2021_gene_set (1)","mitotic sister chromatid segregation (GO:0000070)","GO:0000070","6.388374101923545e-9","8.194609659589933","102","519","22","14937","KIF18B,SPAG5,KIF14,KIF2C,CDCA8,NCAPH,CDCA5,KIF18A,PLK1,CCNB1,CDK1,NDC80,KIF23,KIFC1,NCAPG2,NCAPG,NUSAP1,DLGAP5,CENPK,PRC1,CENPE,CEP55"
"go-bp_2021_gene_set (1)","extracellular matrix organization (GO:0030198)","GO:0030198","1.9447843385911658e-8","7.711128551537624","300","1023","55","14937","MMP11,COL14A1,A2M,CTSG,ITGA8,COL11A1,ADAMTS1,TPSAB1,JAM2,FGF2,THSD4,DPT,GSN,FBLN5,ADAMTS8,GAS6,ADAMTSL4,SPP1,DCN,ADAMTSL3,LAMA2,RECK,LAMC3,SMOC2,JAM3,COL21A1,ADAMTS15,MMP13,NDNF,COL4A4,ITGA7,TLL1,MATN3,ADAMTS5,ELN,MFAP5,AGRN,COL6A2,SCUBE1,CREB3L1,ITGA9,GPM6B,ITGA5,ADAMTSL1,MMP1,FBN2,ITGB3,COL7A1,COL4A6,ADAMTS9,MMP12,ADAMTS4,FLRT2,MFAP2,ADAMTS12"
"go-bp_2021_gene_set (1)","muscle contraction (GO:0006936)","GO:0006936","2.8974465261302942e-8","7.537984570419013","129","788","29","14937","FXYD1,SGCA,ACTG2,CRYAB,DES,LMOD1,TMOD1,MYOM2,MYOM1,SORBS1,MYLK,CASQ2,ACTC1,MYL9,ACTA2,BDKRB2,CACNA1H,GNAO1,TPM2,DMD,SMTN,DTNA,TPM1,EDNRA,ACTA1,TNNT2,MYH11,SSPN,CALD1"
"go-bp_2021_gene_set (1)","extracellular structure organization (GO:0043062)","GO:0043062","2.293001539938716e-7","6.639595653605577","216","1023","43","14937","MMP11,COL14A1,ITGA8,COL11A1,ADAMTS1,JAM2,FGF2,THSD4,FBLN5,ADAMTS8,ADAMTSL4,SPP1,DCN,ADAMTSL3,LAMA2,RECK,LAMC3,SMOC2,JAM3,ADAMTS15,MMP13,NDNF,COL4A4,ITGA7,MATN3,ADAMTS5,ELN,MFAP5,AGRN,COL6A2,ITGA9,ITGA5,ADAMTSL1,MMP1,FBN2,ITGB3,COL7A1,COL4A6,ADAMTS9,MMP12,ADAMTS4,MFAP2,ADAMTS12"
"go-bp_2021_gene_set (1)","external encapsulating structure organization (GO:0045229)","GO:0045229","2.675226596087661e-7","6.572639426628676","217","1023","43","14937","MMP11,COL14A1,ITGA8,COL11A1,ADAMTS1,JAM2,FGF2,THSD4,FBLN5,ADAMTS8,ADAMTSL4,SPP1,DCN,ADAMTSL3,LAMA2,RECK,LAMC3,SMOC2,JAM3,ADAMTS15,MMP13,NDNF,COL4A4,ITGA7,MATN3,ADAMTS5,ELN,MFAP5,AGRN,COL6A2,ITGA9,ITGA5,ADAMTSL1,MMP1,FBN2,ITGB3,COL7A1,COL4A6,ADAMTS9,MMP12,ADAMTS4,MFAP2,ADAMTS12"
"go-bp_2021_gene_set (1)","regulation of heart contraction (GO:0008016)","GO:0008016","0.0000014496749984481457","5.8387293510071965","93","913","24","14937","FXYD1,ATP1A2,DES,ANK2,CELF2,ITPR1,ATP1B2,NPR1,CASQ2,HSPB7,PLN,FXYD6,CACNA1H,RYR3,PDE4D,ABCC9,TPM1,ATP2A3,TNNT2,TRPC1,NPR2,ATP2B4,RYR2,SLC8A1"
"go-bp_2021_gene_set (1)","kinetochore organization (GO:0051383)","GO:0051383","0.0000016114118240735886","5.792793453953064","13","478","8","14937","CENPF,NUF2,CENPA,CENPH,CDT1,NDC80,DLGAP5,CENPE"
"go-bp_2021_gene_set (1)","sister chromatid segregation (GO:0000819)","GO:0000819","0.0000021950795755139153","5.658549731193995","34","694","13","14937","KIF18B,SPAG5,CDCA8,TOP2A,KIF18A,PLK1,NDC80,KIFC1,NCAPG2,NUSAP1,CENPK,ESPL1,ZWINT"
"go-bp_2021_gene_set (1)","DNA metabolic process (GO:0006259)","GO:0006259","0.000004632812879533791","5.33415524070491","277","413","28","14937","XRCC2,RECQL4,HMGB3,TIMELESS,ORC1,RAD54L,POLQ,MCM2,DNA2,RNASEH2A,EXO1,BLM,UHRF1,CDC6,TOP2A,CDC45,CDC7,KPNA2,WDHD1,FANCA,BRCA1,RAD51AP1,MCM10,UBE2T,RAD51,ORC6,CDT1,CDK1"
"go-bp_2021_gene_set (1)","centromere complex assembly (GO:0034508)","GO:0034508","0.000004718368456224989","5.326208148177581","37","971","15","14937","HJURP,CENPF,CENPA,MIS18A,CENPO,CENPH,OIP5,DLGAP5,CENPK,CENPE,CENPI,CENPL,CENPM,HELLS,CENPW"
