"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"go-mf_2021_gene_set","microtubule motor activity (GO:0003777)","GO:0003777","1.2786067534360847e-7","6.893263006008615","56","412","15","11936","KIF26B,KIF18B,KIF14,KIF2C,KIF4A,KIF15,KIF20A,KIF26A,KIF18A,KIF24,KIF11,KIF23,KIFC1,CENPE,STARD9"
"go-mf_2021_gene_set","motor activity (GO:0003774)","GO:0003774","0.0000015386756589967206","5.812852916460261","66","412","15","11936","KIF26B,KIF18B,KIF14,KIF2C,KIF4A,KIF15,KIF20A,KIF26A,KIF18A,KIF24,KIF11,KIF23,KIFC1,CENPE,STARD9"
"go-mf_2021_gene_set","microtubule binding (GO:0008017)","GO:0008017","0.000025511035936150936","4.593271905474131","232","377","25","11936","TPPP,KIF26B,KIF18B,CCDC69,SPAG5,KIF14,KIF2C,LRRK2,SKA1,KIF15,KIF20A,BIRC5,KIF26A,KIF18A,PLK1,GTSE1,REEP1,TPX2,FGF13,KIF23,KIFC1,NUSAP1,DLGAP5,PRC1,CENPE"
"go-mf_2021_gene_set","tubulin binding (GO:0015631)","GO:0015631","0.00003919831350765117","4.406732617930486","307","443","32","11936","TPPP,KIF26B,KIF18B,CCDC69,SPAG5,KIF14,KIF2C,LRRK2,TPPP3,SKA1,KIF15,KIF20A,BIRC5,KIF26A,KIF18A,BRCA1,PLK1,GTSE1,REEP1,TPX2,FGF13,DIXDC1,KIF23,KIFC1,NUSAP1,DLGAP5,PRC1,CENPE,STARD9,BRCA2,UNC5C,NAV3"
"go-mf_2021_gene_set","actin binding (GO:0003779)","GO:0003779","0.00033449344771306085","3.4756123850708436","177","774","30","11936","SYNPO2,LDB3,TMOD1,SORBS1,MYRIP,LRRK2,GSN,SYNE1,PDLIM4,PDLIM3,KIF18A,KCNMA1,SYNPO,TPM2,FERMT2,DMD,SMTN,ANLN,TPM1,NCALD,CAP2,TNNT2,MAP1B,CALD1,MAP1A,CORO2B,PARVA,PDLIM7,SNCA,COBL"
"go-mf_2021_gene_set","DNA secondary structure binding (GO:0000217)","GO:0000217","0.0005948915438735663","3.2255622043397003","33","320","8","11936","XRCC2,RECQL4,HMGB3,MEF2C,CLSPN,BLM,RAD51AP1,HAND2"
"go-mf_2021_gene_set","sequence-specific double-stranded DNA binding (GO:1990837)","GO:1990837","0.0007358383029969818","3.1332176093463264","712","707","73","11936","NR4A1,PER1,KLF2,FOSB,TCF21,SOX17,HLF,NR4A2,MEOX1,GATA5,SOX10,EGR3,OTX1,HIC1,JUND,CRY2,FOS,EGR1,KIF2C,SOX4,NR3C2,MEF2C,KLF4,PER2,SRF,ORC1,GATA6,MCM2,CDC6,CDC45,PKNOX2,BRCA1,MYBL2,CREM,MCM10,E2F7,HAND2,KCNH2,TFEB,NR2F1,NFIX,ATF3,MCM4,KLF6,TSPYL2,JDP2,MSX1,PER3,E2F1,MAFF,SIX4,THRA,HDAC4,MEOX2,CREB5,EGR2,NFIB,CREB3L1,CEBPD,NFATC4,ETV4,E2F2,ARID5A,JUNB,POU6F1,ESR1,PITX1,SIX1,BNC2,SOX7,IRF5,PRDM16,E2F8"
"go-mf_2021_gene_set","transcription regulatory region nucleic acid binding (GO:0001067)","GO:0001067","0.0021682581490608597","2.6638890127063433","212","778","32","11936","PER1,SOX17,GATA5,SOX10,JUND,CRY2,FOS,EGR1,SOX4,MEF2C,KLF4,PER2,GATA6,BRCA1,HAND2,KCNH2,TFEB,ATF3,PER3,THRA,HDAC4,EGR2,CREB3L1,ARID5A,SIX1,BNC2,SOX7,PRDM16,KLF15,TAL1,SNCA,PITX2"
"go-mf_2021_gene_set","glucocorticoid receptor binding (GO:0035259)","GO:0035259","0.002672730355136213","2.5730448538822364","9","57","3","11936","NR4A1,NR4A3,NR4A2"
"go-mf_2021_gene_set","kinase binding (GO:0019900)","GO:0019900","0.0056160215228387295","2.250571236485056","461","441","36","11936","PER1,NR4A3,ANK2,ZFP36,AURKA,MYOM2,MYOM1,FOXM1,KIF14,GSN,DLG2,GATA6,ACTA2,BORA,KIF20A,CDC6,CDC25C,CAV1,PLK1,TPX2,CCNB1,RHOB,KIF11,FLNA,CKS2,RAC3,PRC1,CIT,GHR,AURKB,CCND2,FERMT2,CKS1B,CDC25A,CCNA2,UNC5C"
"go-mf_2021_gene_set","metalloendopeptidase activity (GO:0004222)","GO:0004222","0.00601335069779464","2.2208834674208062","82","785","17","11936","MMP11,ADAM33,ADAMTS1,THSD4,ADAMTS8,ADAMTSL4,ADAMTSL3,ECE2,ADAMTS15,MMP13,ADAMTS5,ADAMTSL1,MMP1,ADAMTS9,MMP12,ADAMTS4,ADAMTS12"
"go-mf_2021_gene_set","cyclic nucleotide binding (GO:0030551)","GO:0030551","0.007355999394987289","2.133358315153603","23","482","7","11936","PDE2A,PDE4B,PDE5A,PDE4D,SLC19A1,BVES,POPDC2"
