GO_ID	GO_LABEL_FULL	NUMBER_OF_GENES_IN_REFERENCE	NUMBER_OF_GENES_IN_INPUT	NUMBER_OF_GENES_EXPECTED	+/-	FOLD_ENRICHMENT	RAW_P_VALUE	FDR
GO:0090131	mesenchyme migration (GO:0090131)	5	5	.29	+	17.03	1.04E-04	2.92E-03
GO:0002651	positive regulation of tolerance induction to self antigen (GO:0002651)	1	1	.06	+	17.03	1.08E-01	5.97E-01
GO:0002649	regulation of tolerance induction to self antigen (GO:0002649)	1	1	.06	+	17.03	1.08E-01	5.97E-01
GO:0045769	negative regulation of asymmetric cell division (GO:0045769)	1	1	.06	+	17.03	1.08E-01	5.97E-01
GO:0002617	negative regulation of macrophage antigen processing and presentation (GO:0002617)	1	1	.06	+	17.03	1.08E-01	5.97E-01
GO:0002616	regulation of macrophage antigen processing and presentation (GO:0002616)	1	1	.06	+	17.03	1.08E-01	5.96E-01
GO:1903285	positive regulation of hydrogen peroxide catabolic process (GO:1903285)	1	1	.06	+	17.03	1.08E-01	5.96E-01
GO:1903284	positive regulation of glutathione peroxidase activity (GO:1903284)	1	1	.06	+	17.03	1.08E-01	5.96E-01
GO:1903280	negative regulation of calcium:sodium antiporter activity (GO:1903280)	1	1	.06	+	17.03	1.08E-01	5.96E-01
GO:0007493	endodermal cell fate determination (GO:0007493)	2	2	.12	+	17.03	1.71E-02	1.87E-01
GO:1903249	negative regulation of citrulline biosynthetic process (GO:1903249)	1	1	.06	+	17.03	1.08E-01	5.96E-01
GO:1903248	regulation of citrulline biosynthetic process (GO:1903248)	1	1	.06	+	17.03	1.08E-01	5.95E-01
GO:0021758	putamen development (GO:0021758)	1	1	.06	+	17.03	1.08E-01	5.95E-01
GO:0021757	caudate nucleus development (GO:0021757)	1	1	.06	+	17.03	1.08E-01	5.95E-01
GO:0003065	positive regulation of heart rate by epinephrine (GO:0003065)	1	1	.06	+	17.03	1.08E-01	5.95E-01
GO:0060461	right lung morphogenesis (GO:0060461)	1	1	.06	+	17.03	1.08E-01	5.94E-01
GO:0080021	response to benzoic acid (GO:0080021)	1	1	.06	+	17.03	1.08E-01	5.94E-01
GO:1902748	positive regulation of lens fiber cell differentiation (GO:1902748)	1	1	.06	+	17.03	1.08E-01	5.94E-01
GO:0071971	extracellular exosome assembly (GO:0071971)	1	1	.06	+	17.03	1.08E-01	5.94E-01
GO:0010186	positive regulation of cellular defense response (GO:0010186)	1	1	.06	+	17.03	1.08E-01	5.94E-01
GO:0010185	regulation of cellular defense response (GO:0010185)	1	1	.06	+	17.03	1.08E-01	5.93E-01
GO:0021685	cerebellar granular layer structural organization (GO:0021685)	1	1	.06	+	17.03	1.08E-01	5.93E-01
GO:0021666	rhombomere 5 formation (GO:0021666)	1	1	.06	+	17.03	1.08E-01	5.93E-01
GO:0021665	rhombomere 5 structural organization (GO:0021665)	1	1	.06	+	17.03	1.08E-01	5.93E-01
GO:0021664	rhombomere 5 morphogenesis (GO:0021664)	1	1	.06	+	17.03	1.08E-01	5.93E-01
GO:0021660	rhombomere 3 formation (GO:0021660)	1	1	.06	+	17.03	1.08E-01	5.92E-01
GO:0033624	negative regulation of integrin activation (GO:0033624)	3	3	.18	+	17.03	3.00E-03	5.05E-02
GO:0021659	rhombomere 3 structural organization (GO:0021659)	1	1	.06	+	17.03	1.08E-01	5.92E-01
