GO_ID	GO_LABEL_FULL	NUMBER_OF_GENES_IN_REFERENCE	NUMBER_OF_GENES_IN_INPUT	NUMBER_OF_GENES_EXPECTED	+/-	FOLD_ENRICHMENT	RAW_P_VALUE	FDR
GO:0005130	granulocyte colony-stimulating factor receptor binding (GO:0005130)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0016663	oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor (GO:0016663)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0036219	GTP diphosphatase activity (GO:0036219)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0047749	cholestanetriol 26-monooxygenase activity (GO:0047749)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0047748	cholestanetetraol 26-dehydrogenase activity (GO:0047748)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0005043	netrin receptor activity involved in chemorepulsion (GO:0005043)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0005020	stem cell factor receptor activity (GO:0005020)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0005018	platelet-derived growth factor alpha-receptor activity (GO:0005018)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0036143	kringle domain binding (GO:0036143)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0008957	phenylacetaldehyde dehydrogenase activity (GO:0008957)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0008955	peptidoglycan glycosyltransferase activity (GO:0008955)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:1990147	talin binding (GO:1990147)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004506	squalene monooxygenase activity (GO:0004506)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0060175	brain-derived neurotrophic factor receptor activity (GO:0060175)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0016496	substance P receptor activity (GO:0016496)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0030748	amine N-methyltransferase activity (GO:0030748)	1	1	.06	+	17.03	1.08E-01	1.00E00
