geneSet,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:1902850,microtubule cytoskeleton organization involved in mitosis (GO:1902850),128,40,8.826686596,4.531711823,1.11E-16,6.67E-13,991;701;4085;6790;9212;5347;891;24137;81930;11004;1062;3832;9700;83540;10403;1063;11130;699;1104;9735;332;9787;1058;64946;2491;64105;91687;79019;79172;6491;51203;55143;3925;10460;284403;220134;147841;57405;54821;7272,AURKA;KNTC1;KIF2C;KIF4A;STIL;CDCA8;CENPF;NUF2;TTK;SKA1;CENPA;BIRC5;CDC20;KIF18A;ERCC6L;PLK1;BUB1;CENPO;BUB1B;CENPH;CCNB1;NDC80;KIF11;NUSAP1;DLGAP5;CENPK;CENPE;AURKB;CENPI;SPC25;WDR62;RCC1;MAD2L1;SPC24;TACC3;ESPL1;ZWINT;CENPL;STMN1;CENPM
GO:0007052,mitotic spindle organization (GO:0007052),157,42,10.82648278,3.879376235,9.55E-15,2.87E-11,2316;22974;991;701;4085;6790;9212;5347;891;24137;9493;81930;11004;1062;3832;83540;10403;1063;11130;699;1104;9735;332;9787;1058;64946;2491;64105;91687;79019;79172;6491;55143;3925;284403;220134;147841;57405;54821;7272;3833;9055,AURKA;KNTC1;KIF2C;KIF4A;STIL;CDCA8;CENPF;NUF2;TTK;SKA1;CENPA;BIRC5;CDC20;KIF18A;ERCC6L;PLK1;BUB1;TPX2;CENPO;BUB1B;CENPH;CCNB1;NDC80;KIF11;KIF23;KIFC1;FLNA;DLGAP5;CENPK;PRC1;CENPE;AURKB;CENPI;SPC25;WDR62;RCC1;MAD2L1;SPC24;ZWINT;CENPL;STMN1;CENPM
GO:0030198,extracellular matrix organization (GO:0030198),299,55,20.61858822,2.667495922,1.58E-11,3.17E-08,375790;2934;2621;3690;83700;80274;6696;79625;1511;56999;2006;3908;23768;2247;4322;2201;3678;8516;10319;10516;3679;81792;2824;4312;4320;4321;170689;7092;11096;9507;2;7177;4148;1634;1294;7373;1286;1292;81578;1288;1805;1301;8076;4237;64094;92949;54507;57188;58494;3680;8434;79875;9510;11095;90993,MMP11;COL14A1;A2M;CTSG;ITGA8;COL11A1;ADAMTS1;TPSAB1;JAM2;FGF2;THSD4;DPT;GSN;FBLN5;ADAMTS8;GAS6;ADAMTSL4;SPP1;DCN;ADAMTSL3;LAMA2;RECK;LAMC3;SMOC2;JAM3;COL21A1;ADAMTS15;MMP13;NDNF;COL4A4;ITGA7;TLL1;MATN3;ADAMTS5;ELN;MFAP5;AGRN;COL6A2;SCUBE1;CREB3L1;ITGA9;GPM6B;ITGA5;ADAMTSL1;MMP1;FBN2;ITGB3;COL7A1;COL4A6;ADAMTS9;MMP12;ADAMTS4;FLRT2;MFAP2;ADAMTS12
GO:0006936,muscle contraction (GO:0006936),129,32,8.895645085,3.597265819,1.27E-10,1.90E-07,800;7169;7168;58;25802;7111;70;1674;7139;1756;8912;1909;10580;9172;2775;1837;4638;624;6546;4629;6640;845;2593;1410;5348;59;10398;6525;8082;8736;72;6442,FXYD1;SGCA;ACTG2;CRYAB;DES;LMOD1;TMOD1;MYOM2;MYOM1;SORBS1;MYLK;CASQ2;ACTC1;MYL9;ACTA2;BDKRB2;CACNA1H;GNAO1;TPM2;DMD;SMTN;DTNA;TPM1;EDNRA;ACTA1;TNNT2;MYH11;SSPN;CALD1;GAMT;SLC8A1;SNTA1
GO:0043062,extracellular structure organization (GO:0043062),215,43,14.82607514,2.900295567,1.74E-10,2.04E-07,375790;3690;83700;6696;79625;56999;2006;3908;2247;4322;2201;3678;8516;10319;10516;3679;81792;4312;4320;4321;170689;11096;9507;4148;1634;1294;7373;1286;1292;1288;1301;8076;4237;64094;92949;54507;57188;58494;3680;8434;79875;9510;11095,MMP11;COL14A1;ITGA8;COL11A1;ADAMTS1;JAM2;FGF2;THSD4;FBLN5;ADAMTS8;ADAMTSL4;SPP1;DCN;ADAMTSL3;LAMA2;RECK;LAMC3;SMOC2;JAM3;ADAMTS15;MMP13;NDNF;COL4A4;ITGA7;MATN3;ADAMTS5;ELN;MFAP5;AGRN;COL6A2;ITGA9;ITGA5;ADAMTSL1;MMP1;FBN2;ITGB3;COL7A1;COL4A6;ADAMTS9;MMP12;ADAMTS4;MFAP2;ADAMTS12
GO:0045229,external encapsulating structure organization (GO:0045229),216,43,14.89503363,2.886868272,2.04E-10,2.04E-07,375790;3690;83700;6696;79625;56999;2006;3908;2247;4322;2201;3678;8516;10319;10516;3679;81792;4312;4320;4321;170689;11096;9507;4148;1634;1294;7373;1286;1292;1288;1301;8076;4237;64094;92949;54507;57188;58494;3680;8434;79875;9510;11095,MMP11;COL14A1;ITGA8;COL11A1;ADAMTS1;JAM2;FGF2;THSD4;FBLN5;ADAMTS8;ADAMTSL4;SPP1;DCN;ADAMTSL3;LAMA2;RECK;LAMC3;SMOC2;JAM3;ADAMTS15;MMP13;NDNF;COL4A4;ITGA7;MATN3;ADAMTS5;ELN;MFAP5;AGRN;COL6A2;ITGA9;ITGA5;ADAMTSL1;MMP1;FBN2;ITGB3;COL7A1;COL4A6;ADAMTS9;MMP12;ADAMTS4;MFAP2;ADAMTS12
GO:0034508,centromere complex assembly (GO:0034508),36,15,2.482505605,6.04228243,4.82E-09,4.14E-06,1062;1063;387103;9787;1058;54069;64946;2491;64105;91687;79019;79172;55355;11339;3070,HJURP;CENPF;CENPA;MIS18A;CENPO;CENPH;OIP5;DLGAP5;CENPK;CENPE;CENPI;CENPL;CENPM;HELLS;CENPW
GO:0042127,regulation of cell population proliferation (GO:0042127),755,95,52.06365922,1.824689264,5.56E-09,4.17E-06,3815;2252;10395;4915;3479;150;7048;9928;3624;51804;3569;3570;2172;104;5737;2869;2350;185;6196;563;596;3853;2006;7122;1191;4609;6659;6285;9759;2247;653;6495;6910;7483;6422;7472;5156;93649;225689;6376;1839;8317;1033;2305;4680;8061;7037;990;8914;3489;332;2260;8013;3726;3590;3572;1440;146433;3977;29923;7832;79801;9314;9863;85480;3398;6713;2146;374;144455;29128;25937;83595;4920;25959;89958;9510;11095;863;219790;4345;7272;894;9055;10290;26471;85004;127435;7041;138151;4072;683;80310;3727;83879,NR4A3;CLDN5;IL6;MYOCD;AGTR1;ADAMTS1;PTGFR;JUND;SFRP1;TGFBR2;FOXM1;FGF2;BMP5;KIF14;SOX4;KLF4;TIMELESS;IL34;ADAMTS8;CLU;INHBA;NACC2;SAPCD2;TTK;FGF7;UHRF1;CDC6;BIRC5;CDC7;TSLP;CSF3;E2F7;RERG;PODN;IL6ST;IGFBP6;RPS6KA2;CX3CL1;PRC1;KANK2;CCND2;BCL2;FOLR2;MAGI2;LIFR;WWTR1;TGFB1I1;EZH2;SIX4;FGFR1;GRK5;ADRA2A;CBFA2T3;PDGFD;IGF1;ELN;WNT2;CDKN3;SPEG;ID2;HDAC4;CD200;IL11RA;DLC1;KIT;HBEGF;MAPK15;S100B;CEACAM6;HILPDA;JUNB;SHCBP1;CDCA7;WNT9A;SIX1;TFRC;BTG2;NTRK2;SOX7;IL6R;PDGFRA;ROR2;ADARB1;FABP6;MYC;BST1;EPCAM;RTKN2;FOSL1;SQLE;AREG;TBX5;KRT6A;NUPR1;AZGP1
GO:0008016,regulation of heart contraction (GO:0008016),93,24,6.41313948,3.74231686,1.12E-08,7.51E-06,7168;1674;7139;8912;489;5144;287;4881;5350;493;6262;6546;6263;3708;7220;477;845;10060;482;4882;5348;10659;27129;53826,FXYD1;ATP1A2;DES;ANK2;CELF2;ITPR1;ATP1B2;NPR1;CASQ2;HSPB7;PLN;FXYD6;CACNA1H;RYR3;PDE4D;ABCC9;TPM1;ATP2A3;TNNT2;TRPC1;NPR2;ATP2B4;RYR2;SLC8A1
GO:0006260,DNA replication (GO:0006260),108,26,7.447516815,3.491096515,1.35E-08,7.65E-06,63967;983;1111;4171;1763;2237;8317;374393;83990;116028;990;80119;672;8914;9401;29980;5427;10535;641;4173;55388;23594;4998;8318;9156;11169,RECQL4;TIMELESS;ORC1;CLSPN;MCM2;DNA2;RNASEH2A;EXO1;BLM;CDC6;CDC45;CDC7;WDHD1;BRCA1;FAM111B;MCM10;ORC6;BRIP1;CDK1;MCM4;PIF1;CHEK1;FEN1;DONSON;POLE2;RMI2
