geneSet,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:0003779,actin binding (GO:0003779),176,30,11.73333333,2.556818182,1.66E-06,0.001040726,2934;7169;10391;171024;7168;6622;81930;10979;7139;6525;3778;800;11346;25924;55742;54443;120892;83988;8572;27295;9260;10486;7111;10580;23242;4130;4131;23345;11155;1756,SYNPO2;LDB3;TMOD1;SORBS1;MYRIP;LRRK2;GSN;SYNE1;PDLIM4;PDLIM3;KIF18A;KCNMA1;SYNPO;TPM2;FERMT2;DMD;SMTN;ANLN;TPM1;NCALD;CAP2;TNNT2;MAP1B;CALD1;MAP1A;CORO2B;PARVA;PDLIM7;SNCA;COBL
GO:0015631,tubulin binding (GO:0015631),304,43,20.26666667,2.121710526,2.05E-06,0.001040726,6622;81930;120892;83988;4130;4131;5347;9928;3833;79739;29127;26153;2258;332;672;675;51308;65055;85458;25999;11076;22974;8633;9055;10112;146909;57519;26112;51512;1062;220134;56992;9787;55083;51203;9493;11004;55638;89795;10615;84722;3925;51673,TPPP;KIF26B;KIF18B;CCDC69;SPAG5;KIF14;KIF2C;LRRK2;TPPP3;SKA1;KIF15;KIF20A;BIRC5;KIF26A;KIF18A;BRCA1;PLK1;GTSE1;REEP1;TPX2;FGF13;DIXDC1;KIF23;KIFC1;NUSAP1;DLGAP5;PRC1;CENPE;STARD9;BRCA2;UNC5C;NAV3;NCALD;RACGAP1;STMN1;MAP1B;SYBU;MAP1A;CLIP3;REEP2;PSRC1;SNCA;TTLL7
GO:0003777,microtubule motor activity (GO:0003777),56,15,3.733333333,4.017857143,2.46E-06,0.001040726,81930;9928;3833;26153;10112;3832;146909;57519;1062;56992;55083;9493;11004;24137;347240,KIF26B;KIF18B;KIF14;KIF2C;KIF4A;KIF15;KIF20A;KIF26A;KIF18A;KIF24;KIF11;KIF23;KIFC1;CENPE;STARD9
GO:1990837,sequence-specific double-stranded DNA binding (GO:1990837),710,78,47.33333333,1.647887324,6.61E-06,0.001951434,4171;6622;9759;10865;6943;2099;3757;90993;9586;1390;467;63876;7025;28999;2627;140628;4208;2353;5307;5308;6722;1869;1870;144455;79733;1958;1959;1960;5187;2118;3663;4306;6663;3727;8061;64321;3726;4605;4776;5463;6886;122953;63976;4781;2354;3090;4784;23764;9314;10365;1316;1052;6659;83595;7942;4223;4222;4929;3164;5013;3131;7067;6495;51804;1408;55388;8318;672;4173;4998;990;9464;4487;11004;64061;54796;8863;8864,NR4A1;PER1;KLF2;FOSB;TCF21;SOX17;HLF;NR4A2;MEOX1;GATA5;SOX10;EGR3;OTX1;HIC1;JUND;CRY2;FOS;EGR1;KIF2C;SOX4;NR3C2;MEF2C;KLF4;PER2;SRF;ORC1;GATA6;MCM2;CDC6;CDC45;PKNOX2;BRCA1;MYBL2;CREM;MCM10;E2F7;HAND2;KCNH2;TFEB;NR2F1;NFIX;ATF3;MCM4;KLF6;TSPYL2;JDP2;MSX1;PER3;E2F1;MAFF;SIX4;THRA;HDAC4;MEOX2;CREB5;EGR2;NFIB;CREB3L1;CEBPD;NFATC4;ETV4;E2F2;ARID5A;JUNB;POU6F1;ESR1;PITX1;SIX1;BNC2;SOX7;IRF5;PRDM16;E2F8;KLF15;FOSL1;TAL1;SNCA;PITX2
GO:0001067,transcription regulatory region nucleic acid binding (GO:0001067),210,32,14,2.285714286,8.93E-06,0.001951434,6622;9759;10865;3757;90993;467;28999;2627;140628;4208;2353;5308;1958;1959;5187;6663;3727;64321;6886;63976;9314;6659;83595;7942;7067;6495;1408;672;9464;54796;8863;8864,PER1;SOX17;GATA5;SOX10;JUND;CRY2;FOS;EGR1;SOX4;MEF2C;KLF4;PER2;GATA6;BRCA1;HAND2;KCNH2;TFEB;ATF3;PER3;THRA;HDAC4;EGR2;CREB3L1;ARID5A;SIX1;BNC2;SOX7;PRDM16;KLF15;TAL1;SNCA;PITX2
GO:0008017,microtubule binding (GO:0008017),230,34,15.33333333,2.217391304,9.24E-06,0.001951434,81930;120892;4130;4131;5347;9928;3833;29127;26153;2258;332;51308;65055;25999;11076;22974;9055;10112;146909;57519;26112;51512;1062;220134;56992;9787;55083;51203;9493;11004;55638;89795;10615;84722,TPPP;KIF26B;KIF18B;CCDC69;SPAG5;KIF14;KIF2C;LRRK2;SKA1;KIF15;KIF20A;BIRC5;KIF26A;KIF18A;PLK1;GTSE1;REEP1;TPX2;FGF13;KIF23;KIFC1;NUSAP1;DLGAP5;PRC1;CENPE;STARD9;NAV3;RACGAP1;MAP1B;SYBU;MAP1A;CLIP3;REEP2;PSRC1
GO:0003774,motor activity (GO:0003774),66,15,4.4,3.409090909,2.17E-05,0.003603745,81930;9928;3833;26153;10112;3832;146909;57519;1062;56992;55083;9493;11004;24137;347240,KIF26B;KIF18B;KIF14;KIF2C;KIF4A;KIF15;KIF20A;KIF26A;KIF18A;KIF24;KIF11;KIF23;KIFC1;CENPE;STARD9
GO:0004222,metalloendopeptidase activity (GO:0004222),82,17,5.466666667,3.109756098,2.28E-05,0.003603745,4322;4321;80332;4320;92949;54507;57188;4312;81792;170689;9718;79875;11096;9507;9510;56999;11095,MMP11;ADAM33;ADAMTS1;THSD4;ADAMTS8;ADAMTSL4;ADAMTSL3;ECE2;ADAMTS15;MMP13;ADAMTS5;ADAMTSL1;MMP1;ADAMTS9;MMP12;ADAMTS4;ADAMTS12
GO:0005509,calcium ion binding (GO:0005509),348,43,23.2,1.853448276,6.13E-05,0.008629384,9378;2934;6622;8605;79085;5167;7226;10004;6546;8642;309;6262;23413;3708;8404;57088;29943;4322;4321;64094;9104;6263;5168;8639;9833;5121;375790;5648;2192;7123;80274;9353;6586;6403;845;8425;10235;5320;83849;6285;23208;78989;715,CLEC3B;SPARCL1;AOC3;SLIT3;ITPR1;PCP4;PLA2G4C;RGN;RASGRP2;MASP1;CASQ2;NRXN1;GSN;MELK;ANXA6;LTBP4;SLIT2;SMOC2;PLA2G2A;RYR3;NAALADL1;SLC25A23;SELP;MMP13;PLSCR4;C1R;TRPM2;AGRN;SCUBE1;S100B;NCS1;DCHS1;FBLN1;RYR2;ENPP2;SYT15;PADI1;COLEC11;SLC8A1;MMP12;SYT11;SNCA;ENPP1
GO:0046872,metal ion binding (GO:0046872),514,56,34.26666667,1.634241245,1.72E-04,0.020919321,5138;80119;2237;9378;55790;2934;6622;120892;8605;79085;5347;5167;11213;108;7226;10004;6546;8642;309;6262;23413;3708;2669;8404;57088;29943;4322;4321;64094;9104;6263;5168;8639;9833;5121;375790;5648;2192;7123;80274;9353;6586;6403;845;8425;10235;5320;83849;6285;23208;78989;715;7153;2053;11076;4499,CLEC3B;SPARCL1;CSGALNACT1;AOC3;TPPP;SLIT3;PDE2A;ITPR1;GEM;PCP4;PLA2G4C;RGN;RASGRP2;MASP1;CASQ2;LRRK2;NRXN1;GSN;MT1M;TOP2A;MELK;ANXA6;PLK1;LTBP4;SLIT2;SMOC2;PLA2G2A;RYR3;NAALADL1;EPHX2;SLC25A23;PIF1;SELP;FEN1;MMP13;PLSCR4;C1R;TRPM2;AGRN;SCUBE1;IRAK3;S100B;NCS1;DCHS1;FBLN1;RYR2;ENPP2;SYT15;PADI1;COLEC11;SLC8A1;MMP12;SYT11;SNCA;ENPP1;ADCY2
