CATEGORY	GO_ID	GO_LABEL_FULL	COUNT	PERCENTAGE	P_VALUE	GENES	LIST_TOTAL	POP_HITS	POP_TOTAL	FOLD_ENRICHMENT	BONFERRONI	BENJAMINI	FDR
GOTERM_MF_ALL	GO:0005201	GO:0005201~extracellular matrix structural constituent	50	4.0096230954290295	7.968083945350474E-21	SRPX, TINAGL1, COL14A1, COL12A1, LAMC2, COMP, EFEMP1, COL10A1, POSTN, VWF, ADIPOQ, BGN, NPNT, ASPN, DCN, VCAN, MMRN1, MMRN2, COL4A6, COL6A6, MFGE8, MATN3, MATN2, FBN2, COL17A1, TNXB, LAMA2, TUFT1, COL11A1, LAMA3, LTBP4, DPT, PRELP, FBLN5, ABI3BP, CTHRC1, MUC6, LAMB3, TFPI2, FN1, PRG4, COL1A1, MFAP4, COL3A1, COL1A2, COL5A1, COL5A2, MFAP2, MGP, OGN	1143	170	18869	4.8553857238433435	1.3219051265336436E-17	1.3219051265336436E-17	1.2470051374473492E-17
GOTERM_MF_ALL	GO:0005509	GO:0005509~calcium ion binding	102	8.179631114675221	2.1089573459779825E-14	PROS1, CALML3, CELSR3, CLGN, COMP, CAPN9, EFEMP1, CDH2, ENPP2, CAPN3, SVEP1, ENPP3, PAMR1, TPD52, CUBN, CCBE1, S100A1, VWDE, NPNT, MELK, SPARCL1, ADAM8, MASP2, MYL9, DSC3, FBN2, NECAB1, TTYH1, LTBP4, LPL, PCDH19, PCDH18, FBLN5, PCDH17, TPO, CDH23, S100A14, SYT8, LRP1B, SELP, EHD2, GJB2, CPS1, DCHS2, HRC, FAT2, ALPL, FAT4, PLCH2, RET, RYR1, PCDHGB7, PCDHGB4, VLDLR, DOC2B, RYR3, CALB2, MB, CRTAC1, ANXA1, DST, ANXA3, PCDHGA2, TESC, PLA2G4A, ASPN, VCAN, MMRN1, PLSCR4, CDH11, CASQ2, RGN, DSG1, DSG3, DNASE1L3, MATN3, MATN2, NRXN1, LRP4, PKD1L2, NCALD, CLEC3B, EGFLAM, SLIT3, SNCA, AOC3, GSN, F10, PCDH9, KCNIP2, F12, PLA2G2A, SYT15, SYT13, S100B, SULF1, CAPN13, NELL2, CAPN11, SMOC1, MGP, S100P	1143	751	18869	2.2421408375883773	3.499533995920956E-11	1.7493801184887364E-11	1.6502591232277713E-11
GOTERM_MF_ALL	GO:0005539	GO:0005539~glycosaminoglycan binding	48	3.8492381716118684	9.94600376552722E-13	VIT, TNXB, ECM2, PCOLCE2, COL11A1, LTBP4, LPL, NDNF, LAMC2, PRELP, PTN, HMMR, CXCL13, FGF1, FGF2, COMP, ADAMTS5, FGF7, CLEC3B, EGFLAM, ADAMTS1, ABI3BP, RSPO3, CTSG, SLIT3, RSPO1, POSTN, PTCH1, FN1, BGN, SULF1, LYVE1, SOD3, DCN, TGFBR2, SELP, TGFBR3, NELL2, GREM2, CXCL10, SFRP1, VCAN, COL5A1, SMOC1, SAA1, LGR6, FGF10, LTF	1143	243	18869	3.2609010293466403	1.6501223720766234E-9	5.500140082336553E-10	5.1884986310167E-10
GOTERM_MF_ALL	GO:0008201	GO:0008201~heparin binding	38	3.0473135525260626	2.055787870901971E-11	TNXB, ECM2, PCOLCE2, COL11A1, LPL, NDNF, LAMC2, PRELP, PTN, CXCL13, FGF1, FGF2, COMP, ADAMTS5, FGF7, CLEC3B, ADAMTS1, ABI3BP, RSPO3, CTSG, SLIT3, RSPO1, POSTN, PTCH1, FN1, SOD3, SELP, TGFBR3, NELL2, GREM2, CXCL10, SFRP1, COL5A1, SMOC1, SAA1, LGR6, FGF10, LTF	1143	176	18869	3.564294520003181	3.41055368391352E-8	8.526380194565925E-9	8.043270044903962E-9
GOTERM_MF_ALL	GO:0005102	GO:0005102~receptor binding	174	13.953488372093023	5.4649181575438764E-11	KLB, SEMA5B, CNTFR, RASL11B, ICAM2, DEFB1, IRS2, ABCA12, CXCL13, FGF1, CXCL14, FGF2, AQP1, COMP, FGF7, EDNRB, EFEMP1, TUBB3, TNN, PALM, FAM3B, WLS, SEMA6A, SEMA6D, ADIPOQ, VWDE, LIFR, NPNT, FOXP2, SFRP1, LGALS12, AGTR1, TLN2, SHC4, IGSF1, LTBP4, DTX1, LPL, GATA3, FBLN5, SOCS2, SLC9A3R1, CCNB1, EFNB3, FLRT2, PDGFD, S100A14, IGFBP6, PPARGC1A, BTNL9, KL, GSTM2, NMB, SRMS, TSLP, CAV2, RARRES2, CAV1, PTCH1, PTCH2, FN1, PTK6, ISG15, INHBA, IGF1, BMP6, CXCL10, FERMT1, NR4A1, MARCO, TF, BMP2, EFNA3, IL6, NR4A3, GNAL, CXCL12, COL5A1, TNFSF4, OGN, PPP1R1B, SCGB3A1, NES, MRAP2, FGF10, CXCL9, ECM2, LAMC2, ADM, CXCL2, CX3CL1, RND1, OASL, ADAMTS5, ESM1, RSPO3, CTSG, CD36, RSPO1, EDN1, LYNX1, ANXA1, EDN2, VWF, DST, METRN, PLAUR, NRG1, NRG2, ADRA2A, RGMA, TGFBR2, TGFBR3, GREM2, GPRC5B, ADORA2A, BANK1, PLSCR4, ITGA7, ANGPTL2, PPARG, TFF1, ANGPTL4, MFGE8, ANGPTL1, TNXB, LAMA2, SEMA3D, SEMA3A, NRXN1, LAMA3, LEF1, SEMA3G, LRP4, PTN, PTHLH, EGFR, GNAI1, RELN, WNT11, PTPRZ1, WIF1, SPP1, AGR2, S1PR1, SLIT3, DMD, JAM2, CACNG4, CTHRC1, GDF10, CMTM7, ARNT2, IL33, RIC3, NLGN4X, ANGPT1, CCL21, IL34, WNT7B, BMP8A, SORBS1, S100B, PTPN14, MFAP4, COL3A1, FABP4, FAP, ADM2, LEP, SAA1, TACC1, LGR6, CCL28	1143	1761	18869	1.6311449143814434	9.066297568249837E-8	1.813259844673058E-8	1.7105193833112333E-8
GOTERM_MF_ALL	GO:0005178	GO:0005178~integrin binding	35	2.8067361668003206	1.668895678141513E-10	TNXB, ECM2, LAMA3, LTBP4, ICAM2, PTN, FGF1, FGF2, FBLN5, EGFR, CX3CL1, COMP, ADAMTS5, ESM1, PTPRZ1, TNN, SPP1, DMD, JAM2, VWF, DST, FN1, NRG1, ISG15, IGF1, NPNT, FERMT1, COL3A1, CXCL12, COL5A1, FAP, LGALS12, ITGA7, TLN2, MFGE8	1143	163	18869	3.5447294548304162	2.7686983006258714E-7	4.6144965500612836E-8	4.353036227152446E-8
GOTERM_MF_ALL	GO:0005515	GO:0005515~protein binding	941	75.46110665597435	4.341462702609268E-9	PID1, MYLK, IL4I1, LIPE, TMEM88, GTSE1, WLS, HES6, GBP5, CCBE1, SDS, UNC5B, STARD9, CLDN5, RBP7, RBP4, CLDN8, FEZ1, AGTR1, SPARCL1, TXNIP, MYL9, ATF3, ABCB1, PARPBP, CRABP2, CDCA3, TTYH1, CDCA5, HPN, CRABP1, NCAPG, CDCA8, SLC5A1, GATA3, IQGAP3, NCAPH, HSD11B1, C6, PRKAR2B, PDGFD, EPB41L2, PIP5K1B, PPARGC1A, GPIHBP1, MYH7B, NGFR, CADM3, GSTM2, JUN, SRMS, TSLP, APCDD1L, FN1, CP, LARP6, COL1A1, FAM111B, FERMT1, COL1A2, FXYD1, HRC, NMT2, FAT4, EZH2, GSTM5, SRPX, HOXC13, PTH1R, PEAR1, HOXC10, TMEM47, SHE, JPH2, HEY2, MMP28, OLR1, SH3BGRL2, DLGAP5, MYBPC1, RMI2, METRN, DUSP1, MAMDC2, BGN, EMP1, PTH2R, FOS, F3, DUSP6, SLC7A5, GPRC5B, GPRC5A, PLSCR4, CKS2, PPARG, PAFAH1B3, CRYAB, RAPGEF3, LRRC15, KANK1, SYNPO2, COL11A1, PELI2, KCNA6, PTGS2, EGFR, RECQL4, PLAGL1, AGR2, SPP1, HAS3, AGR3, DMD, FLNC, JAM2, SPDEF, RIC3, KCNB1, WNT7B, ATAD2, SAMD4A, BMP8A, BBOX1, CENPE, CENPF, COL3A1, FABP4, CCDC8, ZNF219, CENPK, LGR6, LGR4, CRB3, CDKN3, RASL11B, FAM13C, DEFB1, CXCL13, CXCL14, EFEMP1, SLC16A6, LEPR, SLC16A7, NEK2, KPNA2, SLC16A3, PITX1, PPP1R16B, DGAT2, S100A1, ADIPOQ, OLFM4, FOXP3, CDC25A, FOXP2, FRMD3, PKP1, DSC3, SHC4, COL17A1, PFKFB1, BLM, KCNE1, PFKFB3, KCNE4, TROAP, ECSCR, DPT, PKMYT1, FOXO1, SOCS2, SLC9A3R1, KL, ZBTB16, DCDC2, BMX, CORO2B, NDC80, TNFRSF10D, CXCL10, MLXIPL, CXCL12, OGN, SCGB3A1, CNTNAP2, FHL1, MCM10, FHL5, FOXM1, EXO1, BOC, DST, TNFRSF18, NRG1, NRG2, SLC25A18, ARL4A, ADORA2A, BIRC5, ITGA7, DSG1, TRIM59, DSG3, ST6GALNAC3, PPP1R12B, MET, DTL, L3MBTL4, PCOLCE2, UHRF1, LRP4, PPM1J, CKMT2, PARD6B, CDC45, PHKG1, PTPRZ1, CCDC85A, E2F1, E2F2, IGF2BP2, FCGR1A, BEND7, CTHRC1, NTRK2, NTRK3, SYT15, SYT13, NELL2, NOVA1, PRC1, MGP, KCNK3, CPNE7, MT1M, TONSL, ICAM2, MT1X, IFI30, CDC20, TRIM29, EPHB1, TP63, SLC12A8, ANK2, SFRP1, SPATA17, SLPI, KCNQ4, TRIB3, KIF20A, ADCYAP1R1, RRAD, EPAS1, USHBP1, EVPL, PCDH18, PCDH17, NKAIN1, BRIP1, RACGAP1, TSPAN7, APOD, SCN3B, TSPAN1, STAT5A, EGR1, EGR2, ST8SIA1, XRCC2, MICAL2, RASSF9, PTK6, IGF1, HSPA12B, ANLN, TF, PPP1R1A, CD209, PPP1R1B, ID4, SDC1, MRAP2, APOBEC3B, DIRAS3, CSRNP1, SYNM, ECM2, KIF14, DOC2B, SLC7A11, KIF11, BRCA2, CHRDL1, KIF15, AKAP12, CRTAC1, FCER1A, CTSG, MUC15, CD36, CD34, AASS, LYNX1, MME, MMD, HBA2, KIF23, SYN2, ANO5, RGMA, CNKSR2, BANK1, KIT, DEPDC1, ARHGEF4, KIF2C, TLCD1, MFGE8, DDR2, FOXC1, TAGLN, STX11, GNAI1, RELN, MGAT3, GPC3, XDH, IL33, IL34, AKR1C1, PLEKHA4, COX6C, SH3RF2, PER1, GPAM, KIF26A, KIF26B, TACC3, TACC1, RAMP1, SPC25, PNPLA2, MAD2L1, FHOD3, CCDC167, FOXA1, KLB, ERCC6L, GIMAP1, LOXL4, BUB1B, NR3C1, GIMAP7, CELSR3, NR3C2, CLGN, RGS4, RGS2, AKR7A3, CAPN6, PALM, FAM3B, ENPP2, CAPN3, RGS6, TMOD1, NPNT, MID1, ADAM19, CCNE2, MAP7D3, CCNE1, GPRIN1, GPD1, ADAM12, EEF1A2, MASP2, CCDC152, FBN2, NPR2, NPR3, KLHL13, NDRG2, ACACB, CCNB2, CNN1, CCNB1, CYP11A1, RHPN1, ECT2, KLHL29, UBE2C, CAV2, CAV1, RARRES2, CRIM1, ISG15, INHBA, SYT8, BMP6, BMP2, IL6, GNAL, COL5A1, CPS1, UBE2S, UBE2T, KIF4A, COL5A2, ALPL, PYROXD2, AMOTL1, FGF10, TAT, HMGB3, LAMC2, LDB2, SOBP, RND3, RND1, TMEM220, LMNB1, GHR, CYP26B1, CA3, CA4, MYBL2, ARHGEF15, MMP3, MMP9, ACTA2, CCNA2, EPN3, GREM2, VCAN, MMRN1, ELF5, CAT, MMRN2, SCN4A, ZMYND10, NAT8L, SCN4B, CREB5, LAMA2, DNAH6, LAMA3, AURKB, PTHLH, AURKA, PDLIM3, GNG2, ACVR1C, CLMP, SV2B, CNR1, GNG7, ATOH8, SLIT3, PDLIM4, RRM2, LAMB3, SLC50A1, S100B, SOD3, MAPK10, TBX15, EEPD1, MYO15B, S100P, THRSP, PTX3, TEK, CNTFR, MAML2, CLEC10A, C2ORF88, ABCA12, SLC4A4, SMC4, GLDN, SOX17, CREB3L1, HOXA3, PRSS8, HOXA7, HOXA5, CUBN, NUP210, SOX10, BIN1, DAAM2, LGALS12, TYRO3, PRR15, FREM1, CFB, ASF1B, SLAIN1, WDR62, PRDM11, SKA3, SKA1, PLAC9, LDHB, FAM124A, FLRT2, PRDM16, LDHD, SLC19A3, ALX4, S100A14, PROM1, PLK4, FZD4, STARD10, DNAH14, PLK1, CDC7, CDC6, EHD2, SQLE, GJB2, TCN1, TNFSF4, GIPC2, CDKN1C, RET, MYOM1, TINAGL1, ADM, PYGM, HIF3A, MYOM2, CHL1, AIFM2, ADAMTSL4, C1QTNF6, TRIM2, MRC1, NUF2, PBK, RBPMS2, RSPO3, COL10A1, TK1, RSPO1, GPRASP1, TIMP4, CEP55, HELLS, ANXA1, ANXA3, TESC, TACR1, SERPINB5, CIT, TUBB2B, MRAS, TAL1, KIFC1, ANGPTL2, MYZAP, PLIN1, ANGPTL4, ANGPTL1, MGLL, PLIN5, RNF165, ADCY4, FIGN, ADCY5, EPCAM, ABI3BP, METTL7A, RUNX1T1, AOC3, GSN, F10, CCL21, F12, G0S2, SNCAIP, NFIB, ADM2, SMOC1, PLP1, FOSB, C16ORF89, MSRB3, ZNF334, CCL28, SEMA5B, CHRM1, PROS1, HJURP, FAM107A, IRS2, FGF1, FGF2, CDC14B, FGF7, ZFP36, RIMS4, RIMS3, CDH2, TUBB3, TNN, CFL2, TPD52, SEMA6A, SEMA6D, MOB3B, RAB31, MELK, CLIP4, ADAM8, ERG, HMMR, CYP4F22, RAD51AP1, ORC6, ITPRIPL1, ORC1, NDN, TPPP, IGFBP6, CD300LG, AP1M2, FANCI, ANKRD29, ZG16B, FANCA, RCAN1, LRFN5, P4HA3, PIP, ALB, MAFF, CDK1, LHX6, NACAD, NES, PTTG3P, COL14A1, ADAMTS5, CLEC1A, ADAMTS1, CNGA1, C3ORF52, HMGCS2, SH3D19, TPRN, SLC13A2, CR1, VWF, GPX3, AVPR2, SORD, KCNAB1, ADRA2A, INMT, ASPN, C15ORF48, ASPM, ESPL1, SAPCD2, TNMD, ESRP1, MCM4, CEBPA, PLEKHH2, CCDC68, SEMA3D, SEMA3A, CCDC69, SEMA3G, TTK, CLEC3B, ABLIM3, RAB25, RAB26, MAL2, MEST, CACNG4, WASF3, NLGN4X, ANGPT1, SPAG5, KCNIP2, IRX6, IRX4, KLF4, PTPN14, KLF2, MFAP4, NFASC, RAD51, LEP, MAB21L1, MFAP2, PI16, FOLR1, HPSE2, AQP7, CALML3, AQP5, MKI67, AQP1, EDNRB, PDK4, SOX6, TNS4, SYNPO, PTGDS, SOX7, SOX5, TNS1, MUCL1, KRT8, EBF1, EBF2, KRT5, ESCO2, OVOL1, MAPK8IP2, ARC, SIK2, TLN2, DNA2, LLGL2, SLC22A3, NECAB1, MAOB, GYPC, PDE1C, MAOA, IGSF1, TSHZ2, KLK5, APCDD1, IGSF9, KLK6, NUAK2, NAALAD2, TRPM6, SPTBN1, CDT1, NMB, BCL11A, STAC, PDE2A, CIDEA, DDIT4L, PYCR1, GNG11, CIDEC, ZWINT, PM20D2, TPX2, MARCO, ITM2A, RYR1, TOP2A, CLIC5, ROBO3, ROBO4, CITED1, HEPACAM2, HBB, VLDLR, MEOX2, MEOX1, RYR3, CX3CL1, ESM1, PRX, SOSTDC1, EDN1, EDN2, CLDN11, CEACAM6, TNNT1, RHOJ, MPPED2, TNNT3, ALDOC, TFF1, RHOU, VGLL1, DNASE1L3, SGK2, MATN3, MATN2, PTGER4, TNXB, ADH1A, HAAO, AMIGO2, IFI6, AKAP6, PTN, TYMS, GDPD5, PHYHIP, RASIP1, C10ORF90, TCEAL7, EGFLAM, WIF1, FAM184A, RAD54L, CORIN, GDF10, GINS2, ARNT2, SORBS1, LYVE1, TPPP3, KRT19, KRT18, FAP, KRT17, KRT16, KRT15, STAC2, KRT14, SAA1, SAA2, APBA1, TRIP13, F2RL2, TJP3, HOXA10, COMP, DOCK11, PTTG1, NUSAP1, KRT6B, POSTN, IL11RA, LMO3, VWDE, LIFR, ATP1B2, SHISA9, COL4A6, PDE9A, ABCG2, CTTNBP2, DNAJC22, LTBP4, DTX1, LPL, ADRB2, COX7A1, FBLN5, FAM83H, EFNB3, CDH23, PMAIP1, MYH11, LONRF3, CLSPN, FAM83D, BTNL9, CBX7, STIL, CBX2, PTCH1, PTCH2, LRP1B, SELP, NR4A1, KIF18A, PLCXD3, EFNA3, DIAPH3, NR4A3, BMPR1B, CXCL9, ABCD2, THRB, HSPB6, HSPB7, PDE3B, LMOD1, HSPB2, SLC2A4, CXCL2, OASL, TMEM100, FDCSP, AOX1, PTGIS, MYEOV, PLAUR, ABCC9, MYRIP, KLF15, DCN, TGFBR2, TGFBR3, ALDH1A3, HSH2D, MYH3, ALDH1A1, CDH11, CASQ2, LTF, HLF, TUFT1, NRXN1, LEF1, LCAT, ATP1A2, NCALD, MUC1, RASD1, WNT11, PALMD, POC1A, S1PR1, SNCG, LRIG3, NCAM1, BUB1, SNCA, CMTM7, POLQ, TCF7L1, HAGHL, NAP1L2, MEIS2, SHCBP1, DES, PPP2R2C, SPRY2, SPRY1	1143	14225	18869	1.0920436615018905	7.202460771460473E-6	1.0289266605183964E-6	9.706270185119292E-7
GOTERM_MF_ALL	GO:0043168	GO:0043168~anion binding	252	20.208500400962308	8.914280673648729E-9	EPHB6, HPSE2, CPNE7, ACSM5, ABCA12, MKI67, SMC4, MYLK, PDK4, PTGDS, EPHB1, GBP5, SLC34A2, SDS, ACSL1, STARD9, RBP7, ABCA10, SFRP1, BIN1, TYRO3, TRIB3, SIK2, DNA2, KIF20A, ABCB1, MAOB, CRABP2, MAOA, RRAD, CRABP1, BRIP1, NUAK2, RACGAP1, PRKAR2B, LDHD, PIP5K1B, PCK1, TRPM6, SPTBN1, PLK4, MYH7B, GSTM2, SRMS, ABCA5, ABCA6, XRCC2, ST8SIA2, PDE2A, DNAH14, PLK1, ABCA9, FN1, MICAL2, PTK6, CDC7, ABCA8, CDC6, HSPA12B, SQLE, EHD2, RYR1, RET, DIRAS3, TOP2A, ECM2, KIF14, PYGM, GPT, KIF11, DOC2B, KIF15, JPH2, AIFM2, PBK, RSPO3, CTSG, TK1, RSPO1, ACADS, CD34, HELLS, ANXA1, MME, ANXA3, KIF23, F3, SYN2, CIT, TUBB2B, MRAS, KIFC1, RHOJ, KIT, MPPED2, PLSCR4, RHOU, KIF2C, PPARG, MFGE8, MOCS1, SGK2, RAPGEF3, DDR2, TNXB, COL11A1, ADCY4, FIGN, PTN, TYMS, GNAI1, EGFR, ADCY5, RECQL4, ABI3BP, RAD54L, XDH, GSN, F10, AKR1C1, ATAD2, AKR1C3, AKR1C2, FMO2, NMNAT2, PLEKHA4, CENPE, FABP4, KIF26A, SMOC1, KIF26B, SAA1, TRIP13, LGR6, RERGL, ERCC6L, STEAP4, RASL11B, GIMAP1, BUB1B, FGF1, CXCL13, GIMAP7, FGF2, ACTG2, GIMAP8, COMP, FGF7, TUBB3, NEK2, POSTN, ADIPOQ, KMO, MELK, RAB31, EEF1A2, ABCG2, PFKFB1, BLM, PFKFB3, PKDCC, NPR1, NPR2, NPR3, LPL, AK5, PKMYT1, ACACB, ORC1, MYH11, UBE2C, PTCH1, BMX, SYT8, SELP, CXCL10, KIF18A, GNAL, COL5A1, CPS1, UBE2S, KIF4A, P4HA3, UBE2T, ALB, CDK1, BMPR1B, FGF10, ABCD2, TAT, PIK3C2G, LAMC2, RND3, RND1, ADAMTS5, CYP26B1, ADAMTS1, CNGA1, AOX1, ABCC6, PLA2G4A, KCNAB1, ABCC9, TGFBR2, ACTA2, EPN3, TGFBR3, ALDH1A3, GREM2, ARL4A, MYH3, MCM4, MET, LTF, PCOLCE2, DNAH6, TTK, NDNF, PRELP, ATP1A2, AURKB, AURKA, CKMT2, PDE11A, CLEC3B, ACVR1C, RASD1, PHKG1, RAB25, RAB26, LRIG3, SLIT3, BUB1, SNCA, NTRK2, POLQ, NLGN4X, NTRK3, PLA2G2A, SYT15, SYT13, SOD3, NELL2, MAPK10, SBK1, RAD51, MYO15B, MAB21L1, ATP13A5, TEK, FOLR2, FOLR1	1143	2980	18869	1.3960048618083811	1.478868230564423E-5	1.6628816925329668E-6	1.5686617533538836E-6
GOTERM_MF_ALL	GO:0032403	GO:0032403~protein complex binding	86	6.896551724137931	9.021058006507956E-9	FHOD3, MYOM1, SYNM, ECM2, COL14A1, ICAM2, IRS2, FGF1, FGF2, MYOM2, CX3CL1, COMP, CDC20, ADAMTS5, ESM1, TNN, CFL2, FCER1A, TMOD1, CCBE1, VWF, DST, NRG1, NPNT, MMP9, ADRA2A, ASPN, DCN, TGFBR2, TGFBR3, MYH3, BIN1, LGALS12, PKP1, SPARCL1, ITGA7, TLN2, MFGE8, DDR2, LRRC15, TAGLN, TNXB, PCOLCE2, LAMA3, LTBP4, TTK, PTN, EVPL, IQGAP3, FBLN5, EGFR, GNAI1, FAM83H, PTPRZ1, ABLIM3, ABI3BP, SPP1, MYH11, DMD, FLNC, CLSPN, FCGR1A, SPTBN1, WASF3, JAM2, SNCA, MYH7B, GSN, PLK1, FN1, ISG15, IGF1, SORBS1, CORO2B, CENPE, FERMT1, COL3A1, CENPF, GNAL, CXCL12, COL5A1, FAP, UBE2S, PIP, KRT14, NES	1143	742	18869	1.913362244813738	1.4965823319834648E-5	1.6628816925329668E-6	1.5686617533538836E-6
GOTERM_MF_ALL	GO:0097367	GO:0097367~carbohydrate derivative binding	206	16.5196471531676	1.4845201914840363E-8	EPHB6, VIT, HPSE2, ACSM5, ABCA12, MKI67, SMC4, MYLK, PDK4, EPHB1, GBP5, ACSL1, STARD9, ABCA10, SFRP1, TYRO3, TRIB3, SIK2, DNA2, KIF20A, ABCB1, RRAD, BRIP1, NUAK2, PRKAR2B, PIP5K1B, PCK1, TRPM6, PLK4, MYH7B, SRMS, ABCA5, ABCA6, XRCC2, ST8SIA2, PDE2A, DNAH14, PLK1, ABCA9, FN1, PTK6, CDC7, ABCA8, CDC6, HSPA12B, EHD2, RYR1, RET, DIRAS3, TOP2A, ECM2, KIF14, KIF11, KIF15, PBK, RSPO3, CTSG, TK1, RSPO1, HELLS, BGN, KIF23, SYN2, CIT, TUBB2B, MRAS, KIFC1, RHOJ, KIT, MPPED2, PLSCR4, RHOU, KIF2C, MOCS1, SGK2, RAPGEF3, DDR2, TNXB, COL11A1, ADCY4, FIGN, PTN, GNAI1, EGFR, ADCY5, RECQL4, EGFLAM, ABI3BP, AGR2, RAD54L, AGR3, DMD, ATAD2, NMNAT2, SULF1, LYVE1, CENPE, KIF26A, SMOC1, KIF26B, SAA1, TRIP13, LGR6, RERGL, ERCC6L, RASL11B, GIMAP1, BUB1B, FGF1, CXCL13, GIMAP7, FGF2, ACTG2, GIMAP8, COMP, FGF7, TUBB3, NEK2, POSTN, ADIPOQ, MELK, RAB31, EEF1A2, ABCG2, PFKFB1, BLM, PFKFB3, PKDCC, NPR1, NPR2, LTBP4, LPL, HMMR, AK5, PKMYT1, ACACB, ORC1, MYH11, UBE2C, PTCH1, BMX, SELP, CXCL10, KIF18A, GNAL, COL5A1, CPS1, UBE2S, KIF4A, UBE2T, CDK1, BMPR1B, FGF10, ABCD2, PIK3C2G, LAMC2, RND3, RND1, ADAMTS5, ADAMTS1, CNGA1, ABCC6, ABCC9, DCN, TGFBR2, ACTA2, TGFBR3, GREM2, ARL4A, VCAN, MYH3, MCM4, MET, LTF, PCOLCE2, DNAH6, TTK, NDNF, PRELP, ATP1A2, AURKB, AURKA, CKMT2, PDE11A, CLEC3B, ACVR1C, RASD1, PHKG1, RAB25, RAB26, LRIG3, SLIT3, BUB1, NTRK2, POLQ, NTRK3, SOD3, NELL2, MAPK10, MFAP4, SBK1, RAD51, MYO15B, MAB21L1, ATP13A5, TEK	1143	2340	18869	1.4532957952905459	2.4627886957451217E-5	2.462818997672016E-6	2.3232740996725166E-6
