TERM_ID	TERM_LABEL_FULL	OVERLAP	P_VALUE	ADJUSTED_P_VALUE	OLD_P_VALUE	OLD_ADJUSTED_P_VALUE	ODDS_RATIO	COMBINED_SCORE	GENES
GO:0030198	extracellular matrix organization (GO:0030198)	62/300	2.7182564145313773E-17	1.1215525966356463E-13	0	0	4.092280169065082	156.0957544228662	VIT;ECM2;COL14A1;LAMC3;COL12A1;ICAM2;LOXL4;LAMC2;FGF2;COMP;ADAMTS5;ADAMTSL4;ADAMTS1;CREB3L1;MMP28;COL10A1;CTSG;POSTN;DST;VWF;MMP3;BGN;NPNT;MMP9;DCN;ADAM19;MMP11;VCAN;ADAM12;COL4A6;ITGA7;ADAM8;MATN3;DDR2;FBN2;COL17A1;LAMA2;COL11A1;LAMA3;KLK5;DPT;NDNF;KLK7;FBLN5;ADAMTS14;FLRT2;ADAMTS18;HAS3;SPP1;GPM6B;JAM2;GSN;LAMB3;FN1;COL1A1;COL3A1;COL1A2;COL5A1;SMOC1;P4HA3;COL5A2;MFAP2
GO:0043062	extracellular structure organization (GO:0043062)	48/216	5.88192808849353E-15	9.777230220998136E-12	0	0	4.45240091007065	145.89133878387727	VIT;FBN2;COL17A1;ECM2;LAMA2;COL14A1;LAMC3;COL11A1;LAMA3;ICAM2;LAMC2;NDNF;FGF2;FBLN5;COMP;ADAMTS5;ADAMTS14;ADAMTSL4;ADAMTS1;ADAMTS18;MMP28;SPP1;COL10A1;JAM2;POSTN;VWF;LAMB3;MMP3;FN1;BGN;NPNT;MMP9;DCN;COL1A1;ADAM19;MMP11;COL3A1;VCAN;COL1A2;COL5A1;SMOC1;ADAM12;COL5A2;MFAP2;COL4A6;ITGA7;MATN3;DDR2
GO:0045229	external encapsulating structure organization (GO:0045229)	48/217	7.108989496605528E-15	9.777230220998136E-12	0	0	4.425817267393127	144.18169152316727	VIT;FBN2;COL17A1;ECM2;LAMA2;COL14A1;LAMC3;COL11A1;LAMA3;ICAM2;LAMC2;NDNF;FGF2;FBLN5;COMP;ADAMTS5;ADAMTS14;ADAMTSL4;ADAMTS1;ADAMTS18;MMP28;SPP1;COL10A1;JAM2;POSTN;VWF;LAMB3;MMP3;FN1;BGN;NPNT;MMP9;DCN;COL1A1;ADAM19;MMP11;COL3A1;VCAN;COL1A2;COL5A1;SMOC1;ADAM12;COL5A2;MFAP2;COL4A6;ITGA7;MATN3;DDR2
GO:1902850	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	31/128	3.6568969995619706E-11	3.7720892550481726E-8	0	0	4.929044900741245	118.45392499929984	ERCC6L;BUB1B;CDCA8;TTK;WDR62;KIF11;SKA1;AURKB;AURKA;CDC20;CCNB1;NUF2;NUSAP1;BUB1;DLGAP5;STIL;PLK1;NDC80;ZWINT;CENPE;KIF18A;CENPF;ESPL1;KIF4A;CENPK;TACC3;BIRC5;CENPM;KIF2C;MAD2L1;SPC25
GO:0045765	regulation of angiogenesis (GO:0045765)	38/203	8.220516324524238E-10	6.783570070997402E-7	0	0	3.5596463386987076	74.46501744049962	FOXC1;HSPB6;NPR1;PDE3B;ECSCR;ISM1;CXCL13;FGF1;FGF2;AQP1;BMPER;HYAL1;ADAMTS1;CD34;HOXA5;PPP1R16B;SEMA6A;PTGIS;ANXA3;SULF1;KLF4;F3;DCN;CLDN5;CXCL10;SFRP1;EFNA3;IL6;ADM2;TNMD;LEP;RHOJ;ADAM12;SPRY2;PPARG;ANGPTL4;TEK;RAPGEF3
GO:0008284	positive regulation of cell population proliferation (GO:0008284)	65/474	1.3924934516439858E-9	9.575713302471809E-7	0	0	2.4798122182858475	50.56875194327575	PID1;RTKN2;KIF14;IRS2;LAMC2;FGF1;FOXM1;FGF2;HOXC10;CX3CL1;AQP1;FGF7;ESM1;HYAL1;RBPMS2;EDN1;CR1;EDN2;IL11RA;OSR1;SOX11;NRG1;LIFR;ADRA2A;TGFBR2;TGFBR3;CLDN5;SFRP1;SAPCD2;CEACAM6;BIRC5;DDR2;LTF;PTGFR;LEF1;TTK;PTN;EGFR;PTHLH;RAB25;EPCAM;PDGFD;E2F1;NTRK2;TSLP;NTRK3;IL34;FN1;AKR1C3;AKR1C2;CDC7;IGF1;S100B;MEIS2;BMP6;MLXIPL;BMP2;IL6;NR4A3;PRC1;TNFSF4;FOLR2;NES;EZH2;FGF10
GO:0007052	mitotic spindle organization (GO:0007052)	32/157	1.981473742721199E-9	1.167937237495381E-6	0	0	3.945660876757651	79.06877503608216	ERCC6L;BUB1B;CDCA8;TTK;WDR62;KIF11;SKA1;AURKB;AURKA;CDC20;CCNB1;NUF2;BUB1;DLGAP5;STIL;PLK1;KIF23;NDC80;ZWINT;TPX2;CENPE;KIF18A;CENPF;KIFC1;PRC1;KIF4A;CENPK;BIRC5;CENPM;KIF2C;MAD2L1;SPC25
GO:0009968	negative regulation of signal transduction (GO:0009968)	42/267	2.4132708702907182E-8	1.2446444513524379E-5	0	0	2.885471226021685	50.61029305253616	KANK1;PID1;CITED1;GATA3;APCDD1;FGF2;CX3CL1;EGFR;RNF157;SLC9A3R1;RGS2;CYP26B1;WIF1;CREB3L1;PALM;GPC3;SOSTDC1;APOD;XDH;SNCA;SRMS;SEMA6A;NLGN4X;PTCH1;ADIPOQ;PTCH2;PTK6;MAPK8IP2;SULF1;DCN;SFRP1;BMP2;KIF26A;TNMD;MMRN2;TYRO3;SPRY2;SPRY1;LGR4;EZH2;PLIN5;LTF
GO:0030335	positive regulation of cell migration (GO:0030335)	42/269	3.004971542464678E-8	1.3776125093565846E-5	0	0	2.8597399448145113	49.531875904641666	RET;LRRC15;SEMA5B;SEMA3D;SEMA3A;LEF1;FAM107A;SEMA3G;LAMC2;FGF1;EGFR;MYLK;FAM83H;WNT11;RAB25;HYAL1;PDGFD;ENPP2;GTSE1;EDN1;SEMA6A;F10;SEMA6D;CAV1;TNFRSF18;NTRK3;FN1;IGF1;F3;MMP9;ADRA2A;COL1A1;FERMT1;SH3RF2;BMP2;CXCL12;CEACAM6;KIT;SPRY2;LGR6;DDR2;FGF10
GO:1901655	cellular response to ketone (GO:1901655)	14/39	4.056034234678885E-8	1.673519725228508E-5	0	0	8.550154849225754	145.52769717541085	PTGER4;PTGFR;AKR1C3;AKR1C2;NR3C1;GNAI1;ADCY5;AQP1;SFRP1;GNG2;TNFSF4;KLF9;SPP1;PCK1
