TERM_ID	TERM_LABEL_FULL	OVERLAP	P_VALUE	ADJUSTED_P_VALUE	OLD_P_VALUE	OLD_ADJUSTED_P_VALUE	ODDS_RATIO	COMBINED_SCORE	GENES
GO:0005509	calcium ion binding (GO:0005509)	49/348	6.474779243086913E-8	4.6035680418347955E-5	0	0	2.537934053107674	42.00982908997282	RET;RYR1;CALML3;RYR3;CLGN;COMP;CALB2;CDH2;ENPP2;CAPN3;ENPP3;TPD52;ANXA1;ANXA3;S100A1;TESC;PLA2G4A;ASPN;MELK;PLSCR4;CDH11;RGN;CASQ2;SPARCL1;DSG1;ADAM8;DSG3;DNASE1L3;DSC3;NRXN1;LTBP4;LPL;CLEC3B;CDH23;SLIT3;S100A14;SNCA;AOC3;GSN;KCNIP2;PLA2G2A;SYT15;SYT13;S100B;SYT8;SELP;GJB2;HRC;S100P
GO:0046872	metal ion binding (GO:0046872)	61/517	1.0228585978097182E-6	3.636262315213548E-4	0	0	2.0749386708296162	28.61944089730261	RET;TOP2A;RYR1;MT1M;CALML3;MT1X;RYR3;CLGN;COMP;CALB2;CDH2;ENPP2;CAPN3;ENPP3;TPD52;POSTN;ANXA1;ANXA3;S100A1;TESC;PLA2G4A;ASPN;MELK;PLSCR4;CDH11;RGN;CASQ2;SPARCL1;DSG1;ADAM8;DSG3;SIK2;DNASE1L3;DSC3;NRXN1;LTBP4;LPL;GNAI1;CLEC3B;NUAK2;ACVR1C;CDH23;SLIT3;S100A14;TPPP;PCK1;SNCA;AOC3;GSN;KCNIP2;PLK1;PDE2A;PLA2G2A;SYT15;SYT13;S100B;SYT8;SELP;GJB2;HRC;S100P
GO:0003777	microtubule motor activity (GO:0003777)	13/56	2.926863228286967E-5	0.005466763123449051	0	0	4.607756988106962	48.10034840917323	STARD9;KIF14;KIF23;KIF11;KIF15;CENPE;KIF18A;KIFC1;KIF26A;KIF4A;KIF26B;KIF2C;KIF20A
GO:0005248	voltage-gated sodium channel activity (GO:0005248)	8/22	3.135825786266649E-5	0.005466763123449051	0	0	8.687290001158614	90.0874832704437	SCN9A;SCN7A;SCN4A;SCN3B;SCN2A;SCN3A;SCN4B;SCN2B
GO:0048018	receptor ligand activity (GO:0048018)	38/307	3.844418511567547E-5	0.005466763123449051	0	0	2.1712138488969646	22.073218095422227	SEMA5B;CXCL9;SEMA3D;SEMA3A;SEMA3G;PTN;CXCL13;FGF1;FGF2;CX3CL1;PTHLH;FGF7;WNT11;FAM3B;GDF10;IL33;NMB;EDN1;EDN2;SEMA6A;TSLP;METRN;IL34;WNT7B;SEMA6D;ADIPOQ;BMP8A;NRG1;IGF1;INHBA;BMP6;CXCL10;GREM2;BMP2;IL6;LEP;SCGB3A1;FGF10
GO:0019199	transmembrane receptor protein kinase activity (GO:0019199)	13/60	6.347981489462633E-5	0.0060359926317118135	0	0	4.214706493866519	40.734247182698326	RET;EPHB6;NTRK2;NTRK3;EGFR;TGFBR2;KIT;TYRO3;TEK;BMPR1B;EPHB1;MET;DDR2
GO:0004714	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	13/60	6.347981489462633E-5	0.0060359926317118135	0	0	4.214706493866519	40.734247182698326	RET;EPHB6;NTRK2;NTRK3;CRIM1;EGFR;EFEMP1;KIT;TYRO3;TEK;EPHB1;MET;DDR2
GO:0005125	cytokine activity (GO:0005125)	25/173	6.79155289081498E-5	0.0060359926317118135	0	0	2.5853207236842106	24.811958578345806	CXCL9;CXCL13;FGF2;CXCL2;CX3CL1;WNT11;FAM3B;GDF10;IL33;EDN1;TSLP;CCL21;IL34;WNT7B;ADIPOQ;BMP8A;NRG1;INHBA;BMP6;CXCL10;BMP2;IL6;CXCL12;SCGB3A1;CCL28
GO:1990837	sequence-specific double-stranded DNA binding (GO:1990837)	70/712	9.006670357920691E-5	0.007115269582757346	0	0	1.6869118973319392	15.713516866183657	FOXA1;THRB;FOXI1;MCM10;TFCP2L1;HOXC13;MEOX2;NR3C1;MEOX1;HOXC10;NR3C2;HOXA10;SOX17;CREB3L1;HEY2;MYBL2;HOXA7;SOX6;PITX1;SOX7;HOXA5;HOXA4;SOX5;HES6;OSR1;SOX11;FOS;OVOL1;SOX10;FOXP3;KLF15;TAL1;ELF5;MCM4;PPARG;KIF2C;ERG;ATF3;CREB5;CEBPA;FOXC1;HLF;LEF1;GATA3;CDC45;ORC1;PRDM16;E2F1;ALX4;E2F2;SPDEF;SNCA;IRX1;EGR1;ARNT2;JUN;EGR2;TCF7L1;EGR3;CDC6;KLF4;MEIS2;KLF2;PER1;NR4A1;TBX15;NFIB;MAFF;FOSB;LHX6
GO:0008017	microtubule binding (GO:0008017)	30/232	1.1067953704818663E-4	0.007869315084126069	0	0	2.2757969438562355	20.72994211705602	CCDC69;KIF14;SKA1;KIF15;C10ORF90;RACGAP1;CAPN6;NUSAP1;TPPP;FAM83D;GTSE1;DLGAP5;DST;SPAG5;STARD9;PLK1;KIF23;MID1;TPX2;CENPE;KIF18A;MAP7D3;KIFC1;KIF26A;PRC1;KIF26B;CLIP4;BIRC5;KIF2C;KIF20A
GO:0003774	motor activity (GO:0003774)	13/66	1.7764733181014814E-4	0.011089859736743816	0	0	3.736371458422961	32.26622131989202	STARD9;KIF14;KIF23;KIF11;KIF15;CENPE;KIF18A;KIFC1;KIF26A;KIF4A;KIF26B;KIF2C;KIF20A
