"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"go-mf_2021_gene_set","microtubule binding (GO:0008017)","GO:0008017","4.659218412494614e-10","9.331686930436547","232","136","20","11936","TPX2,KIF20A,DLGAP5,NUSAP1,PLK1,KIF2C,KIF14,DST,C10ORF90,SPAG5,BIRC5,KIFC1,SKA1,FAM83D,STARD9,CENPE,KIF23,KIF26B,GTSE1,PRC1"
"go-mf_2021_gene_set","microtubule motor activity (GO:0003777)","GO:0003777","6.003081485417614e-8","7.221625761520515","56","212","12","11936","KIF4A,KIF20A,KIF2C,KIF14,KIF11,KIFC1,STARD9,CENPE,KIF23,KIF26B,KIF18A,KIF15"
"go-mf_2021_gene_set","tubulin binding (GO:0015631)","GO:0015631","7.674310195737282e-8","7.11496065059322","307","136","20","11936","TPX2,KIF20A,DLGAP5,NUSAP1,PLK1,KIF2C,KIF14,DST,C10ORF90,SPAG5,BIRC5,KIFC1,SKA1,FAM83D,STARD9,CENPE,KIF23,KIF26B,GTSE1,PRC1"
"go-mf_2021_gene_set","motor activity (GO:0003774)","GO:0003774","4.52860383462157e-7","6.344035670035344","66","212","12","11936","KIF4A,KIF20A,KIF2C,KIF14,KIF11,KIFC1,STARD9,CENPE,KIF23,KIF26B,KIF18A,KIF15"
"go-mf_2021_gene_set","calcium ion binding (GO:0005509)","GO:0005509","0.00004857623979279175","4.3135761062547475","348","769","49","11936","GJB2,COMP,MELK,RYR3,S100B,KCNIP2,TESC,CLEC3B,ANXA1,LPL,RGN,S100P,LTBP4,SNCA,NRXN1,ENPP2,GSN,DNASE1L3,AOC3,PLSCR4,ADAM8,CAPN3,PLA2G4A,DSG1,CDH11,SPARCL1,CASQ2,TPD52,CDH23,SLIT3,CALB2,SYT8,ANXA3,S100A14,SYT15,SELP,CLGN,ASPN,HRC,CDH2,RYR1,RET,SYT13,ENPP3,DSC3,PLA2G2A,DSG3,CALML3,S100A1"
"go-mf_2021_gene_set","metal ion binding (GO:0046872)","GO:0046872","0.0008070428167349339","3.093103423668963","517","769","61","11936","GJB2,COMP,TOP2A,PLK1,MELK,RYR3,S100B,MT1M,KCNIP2,TESC,PDE2A,CLEC3B,ANXA1,LPL,NUAK2,RGN,S100P,PCK1,LTBP4,MT1X,POSTN,SNCA,NRXN1,ENPP2,GSN,DNASE1L3,ACVR1C,AOC3,PLSCR4,ADAM8,CAPN3,SIK2,PLA2G4A,DSG1,CDH11,SPARCL1,CASQ2,GNAI1,TPPP,TPD52,CDH23,SLIT3,CALB2,SYT8,ANXA3,S100A14,SYT15,SELP,CLGN,ASPN,HRC,CDH2,RYR1,RET,SYT13,ENPP3,DSC3,PLA2G2A,DSG3,CALML3,S100A1"
"go-mf_2021_gene_set","kinase binding (GO:0019900)","GO:0019900","0.0033996130717810287","2.46857050953211","461","173","20","11936","SPRY2,PER1,TPX2,KIF20A,CKS2,PLK1,AURKA,KIF14,FOXM1,CCNB1,KIF11,FAM83D,CCNA2,CAV1,CDC6,PRC1,MYOM1,CIT,AURKB,CAV2"
"go-mf_2021_gene_set","voltage-gated sodium channel activity (GO:0005248)","GO:0005248","0.004064696824905877","2.3909718417502734","22","304","6","11936","SCN4B,SCN3A,SCN2B,SCN3B,SCN4A,SCN2A"
"go-mf_2021_gene_set","transmembrane receptor protein tyrosine kinase activity (GO:0004714)","GO:0004714","0.012567349360296343","1.9007563117799464","60","714","13","11936","NTRK2,EPHB1,KIT,EGFR,CRIM1,MET,EPHB6,EFEMP1,NTRK3,DDR2,TEK,RET,TYRO3"
"go-mf_2021_gene_set","transmembrane receptor protein kinase activity (GO:0019199)","GO:0019199","0.012567349360296343","1.9007563117799464","60","714","13","11936","NTRK2,EPHB1,KIT,TGFBR2,EGFR,MET,EPHB6,NTRK3,DDR2,TEK,BMPR1B,RET,TYRO3"
"go-mf_2021_gene_set","voltage-gated sodium channel activity involved in cardiac muscle cell action potential (GO:0086006)","GO:0086006","0.01317765885028358","1.880161739872193","5","199","3","11936","SCN4B,SCN2B,SCN3B"
"go-mf_2021_gene_set","metalloendopeptidase activity (GO:0004222)","GO:0004222","0.013794340359844375","1.8602990624866556","82","2","2","11936","MMP11,ADAMTS5"
"go-mf_2021_gene_set","cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)","GO:0016538","0.02047933101284258","1.6886842343259088","44","118","5","11936","CKS2,CCNB2,CCNB1,CCNE2,CCNA2"
"go-mf_2021_gene_set","alcohol dehydrogenase (NAD+) activity (GO:0004022)","GO:0004022","0.02104148652293838","1.6769235817281705","9","338","4","11936","ADH1C,ADH1A,ADH1B,ADHFE1"
"go-mf_2021_gene_set","cytokine activity (GO:0005125)","GO:0005125","0.021825857587561344","1.6610286828696583","173","612","22","11936","INHBA,CXCL2,TSLP,CX3CL1,BMP8A,GDF10,FGF2,ADIPOQ,CXCL10,IL33,BMP2,CCL21,CCL28,CXCL12,SCGB3A1,IL34,BMP6,NRG1,IL6,EDN1,CXCL9,WNT11"
"go-mf_2021_gene_set","receptor ligand activity (GO:0048018)","GO:0048018","0.022228327023902924","1.6530932224844743","307","768","38","11936","SEMA5B,INHBA,TSLP,CX3CL1,LEP,FGF1,BMP8A,GDF10,FGF2,ADIPOQ,SEMA3G,CXCL10,IL33,PTN,BMP2,SEMA3D,SEMA6D,SEMA6A,FGF10,SCGB3A1,IL34,METRN,BMP6,GREM2,NRG1,IGF1,IL6,EDN1,CXCL9,WNT11,NMB,FGF7,SEMA3A,EDN2,PTHLH,CXCL13,WNT7B,FAM3B"
"go-mf_2021_gene_set","metallopeptidase activity (GO:0008237)","GO:0008237","0.030155649205802597","1.520631317384946","121","2","2","11936","MMP11,ADAMTS5"
"go-mf_2021_gene_set","3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)","GO:0004114","0.030692178957994157","1.5129722782074326","21","675","7","11936","PDE1C,PDE2A,PDE11A,PDE7B,PDE9A,PDE3B,PDE8B"
"go-mf_2021_gene_set","vinculin binding (GO:0017166)","GO:0017166","0.03083597014196422","1.5109423835219675","11","17","2","11936","DMD,SYNM"
"go-mf_2021_gene_set","alcohol dehydrogenase activity, zinc-dependent (GO:0004024)","GO:0004024","0.03177787749054109","1.4978751135770145","7","177","3","11936","ADH1C,ADH1A,ADH1B"
"go-mf_2021_gene_set","histone kinase activity (GO:0035173)","GO:0035173","0.04462375348091952","1.350433902284104","8","170","3","11936","CDK1,AURKA,AURKB"
"go-mf_2021_gene_set","cyclic-nucleotide phosphodiesterase activity (GO:0004112)","GO:0004112","0.05859307706138134","1.2321536940783677","23","675","7","11936","PDE1C,PDE2A,PDE11A,PDE7B,PDE9A,PDE3B,PDE8B"
"go-mf_2021_gene_set","protein tyrosine kinase activity (GO:0004713)","GO:0004713","0.06429797321334257","1.1918027165957508","108","714","17","11936","NTRK2,MELK,TTK,EPHB1,KIT,BMX,EGFR,MET,EPHB6,NTRK3,PKDCC,DDR2,TEK,SRMS,PTK6,RET,TYRO3"
"go-mf_2021_gene_set","retinal dehydrogenase activity (GO:0001758)","GO:0001758","0.0665268017834512","1.1770033543712548","8","525","4","11936","ALDH1A2,ALDH1A1,AKR1C3,ALDH1A3"
"go-mf_2021_gene_set","chemorepellent activity (GO:0045499)","GO:0045499","0.07505675810358868","1.12461019782499","25","640","7","11936","SEMA5B,SEMA3G,SEMA3D,SEMA6D,SEMA6A,NRG1,SEMA3A"
"go-mf_2021_gene_set","sequence-specific double-stranded DNA binding (GO:1990837)","GO:1990837","0.09890511465504832","1.004781249261977","712","406","42","11936","HOXA4,PER1,HLF,HOXA5,KIF2C,PITX1,FOSB,KLF15,CDC6,OSR1,NR3C2,HOXA7,MYBL2,EGR1,CDC45,MCM10,CREB5,SNCA,MEOX2,MEIS2,IRX1,PPARG,SOX10,MEOX1,E2F1,ALX4,NFIB,NR3C1,E2F2,JUN,EGR2,LEF1,KLF4,ORC1,MAFF,TAL1,EGR3,FOS,SOX17,FOXP3,HES6,MCM4"
