"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"go-bp_2021_gene_set (1)","microtubule cytoskeleton organization involved in mitosis (GO:1902850)","GO:1902850","7.744034984041064e-20","19.11103269374955","128","292","29","14937","KIF4A,NUF2,CENPF,BUB1,SPC25,CDCA8,DLGAP5,ERCC6L,NUSAP1,ZWINT,NDC80,PLK1,AURKA,KIF2C,CCNB1,BIRC5,BUB1B,KIF11,SKA1,CDC20,CENPE,TTK,AURKB,CENPM,KIF18A,TACC3,STIL,WDR62,ESPL1"
"go-bp_2021_gene_set (1)","mitotic spindle organization (GO:0007052)","GO:0007052","5.684926258001015e-19","18.245275164388904","157","277","30","14937","KIF4A,TPX2,NUF2,CENPF,BUB1,SPC25,CDCA8,DLGAP5,ERCC6L,ZWINT,NDC80,PLK1,AURKA,KIF2C,CCNB1,BIRC5,BUB1B,KIF11,KIFC1,SKA1,CDC20,CENPE,KIF23,PRC1,TTK,AURKB,CENPM,KIF18A,STIL,WDR62"
"go-bp_2021_gene_set (1)","mitotic sister chromatid segregation (GO:0000070)","GO:0000070","3.437079364043983e-14","13.463810439649675","102","188","19","14937","CDK1,CDCA8,CEP55,DLGAP5,NUSAP1,ZWINT,NCAPG,NDC80,PLK1,KIF2C,KIF14,CCNB1,SPAG5,KIFC1,CENPE,CDCA5,KIF23,PRC1,NCAPH"
"go-bp_2021_gene_set (1)","extracellular matrix organization (GO:0030198)","GO:0030198","2.189305551254229e-12","11.659693621728957","300","847","56","14937","COL10A1,MMP11,COL11A1,ADAMTS5,COMP,FN1,VIT,DST,ADAMTS14,LOXL4,HAS3,ADAMTS1,FGF2,ITGA7,POSTN,P4HA3,GSN,JAM2,MATN3,BGN,MFAP2,ADAM8,ADAM19,COL17A1,DPT,LAMB3,VCAN,COL5A2,COL5A1,FBN2,GPM6B,FLRT2,FBLN5,MMP3,MMP9,SMOC1,ADAMTS18,SPP1,LAMA3,ADAMTSL4,DCN,CREB3L1,VWF,COL12A1,ICAM2,ECM2,MMP28,KLK5,DDR2,NPNT,CTSG,COL4A6,ADAM12,KLK7,LAMA2,COL14A1"
"go-bp_2021_gene_set (1)","extracellular structure organization (GO:0043062)","GO:0043062","2.7575734034576726e-10","9.559472918310318","216","1023","48","14937","COL10A1,MMP11,COL11A1,ADAMTS5,COMP,FN1,VIT,ADAMTS14,ADAMTS1,FGF2,ITGA7,POSTN,JAM2,MATN3,BGN,MFAP2,ADAM19,COL17A1,LAMB3,VCAN,COL5A2,COL5A1,FBN2,FBLN5,MMP3,MMP9,SMOC1,ADAMTS18,SPP1,LAMA3,ADAMTSL4,DCN,VWF,ICAM2,ECM2,MMP28,DDR2,NPNT,COL4A6,ADAM12,LAMA2,COL14A1,NDNF,LAMC3,LAMC2,COL1A1,COL3A1,COL1A2"
"go-bp_2021_gene_set (1)","external encapsulating structure organization (GO:0045229)","GO:0045229","3.31256154949279e-10","9.479836043513476","217","1023","48","14937","COL10A1,MMP11,COL11A1,ADAMTS5,COMP,FN1,VIT,ADAMTS14,ADAMTS1,FGF2,ITGA7,POSTN,JAM2,MATN3,BGN,MFAP2,ADAM19,COL17A1,LAMB3,VCAN,COL5A2,COL5A1,FBN2,FBLN5,MMP3,MMP9,SMOC1,ADAMTS18,SPP1,LAMA3,ADAMTSL4,DCN,VWF,ICAM2,ECM2,MMP28,DDR2,NPNT,COL4A6,ADAM12,LAMA2,COL14A1,NDNF,LAMC3,LAMC2,COL1A1,COL3A1,COL1A2"
"go-bp_2021_gene_set (1)","sister chromatid segregation (GO:0000819)","GO:0000819","3.4247858458561566e-8","7.465366580046227","34","292","11","14937","CDCA8,TOP2A,NUSAP1,ZWINT,NDC80,PLK1,SPAG5,KIFC1,KIF18A,SMC4,ESPL1"
"go-bp_2021_gene_set (1)","regulation of cell cycle process (GO:0010564)","GO:0010564","4.0329691193859645e-8","7.394375103390749","106","297","17","14937","NEK2,PKMYT1,KIF20A,BUB1,MKI67,PLK1,AURKA,KLHL13,SPAG5,KIF11,SFRP1,PRC1,AURKB,CAV2,RMI2,ECT2,RACGAP1"
"go-bp_2021_gene_set (1)","mitotic metaphase plate congression (GO:0007080)","GO:0007080","2.2650222417684083e-7","6.644927529002204","51","164","10","14937","NUF2,CDCA8,CEP55,NDC80,KIF2C,KIF14,CCNB1,KIFC1,CENPE,CDCA5"
"go-bp_2021_gene_set (1)","regulation of angiogenesis (GO:0045765)","GO:0045765","3.6849407466923273e-7","6.4335694911404655","203","853","37","14937","SPRY2,HOXA5,LEP,FGF1,TNMD,HSPB6,SFRP1,ADAMTS1,FGF2,NPR1,CLDN5,RAPGEF3,CXCL10,ISM1,BMPER,AQP1,PPARG,RHOJ,SULF1,F3,KLF4,HYAL1,SEMA6A,CD34,ANGPTL4,ECSCR,PPP1R16B,ADM2,DCN,IL6,PTGIS,ANXA3,PDE3B,ADAM12,TEK,FOXC1,EFNA3"
"go-bp_2021_gene_set (1)","mitotic nuclear division (GO:0140014)","GO:0140014","4.082525979428874e-7","6.389071042920332","74","118","10","14937","TPX2,UBE2C,CDCA8,NUSAP1,ZWINT,NDC80,PLK1,SPAG5,KIF11,KIFC1"
"go-bp_2021_gene_set (1)","mitotic spindle assembly checkpoint signaling (GO:0007094)","GO:0007094","0.0000015484654216122823","5.810098488318593","21","390","9","14937","CENPF,BUB1,ZWINT,PLK1,BUB1B,CDC20,TTK,TRIP13,MAD2L1"
"go-bp_2021_gene_set (1)","spindle assembly checkpoint signaling (GO:0071173)","GO:0071173","0.0000015484654216122823","5.810098488318593","21","390","9","14937","CENPF,BUB1,ZWINT,PLK1,BUB1B,CDC20,TTK,TRIP13,MAD2L1"
"go-bp_2021_gene_set (1)","mitotic spindle checkpoint signaling (GO:0071174)","GO:0071174","0.0000015484654216122823","5.810098488318593","21","390","9","14937","CENPF,BUB1,ZWINT,PLK1,BUB1B,CDC20,TTK,TRIP13,MAD2L1"
"go-bp_2021_gene_set (1)","negative regulation of mitotic metaphase/anaphase transition (GO:0045841)","GO:0045841","0.000002560418122427046","5.591689107565057","22","390","9","14937","CENPF,BUB1,ZWINT,PLK1,BUB1B,CDC20,TTK,TRIP13,MAD2L1"
"go-bp_2021_gene_set (1)","mitotic cytokinesis (GO:0000281)","GO:0000281","0.0000032118316436393693","5.493247227451473","49","297","11","14937","KIF4A,KIF20A,CEP55,NUSAP1,ANLN,PLK1,KIF23,CIT,ECT2,ESPL1,RACGAP1"
"go-bp_2021_gene_set (1)","regulation of mitotic cell cycle phase transition (GO:1901990)","GO:1901990","0.000003398445689555512","5.468719666131544","188","165","15","14937","NEK2,TPX2,CENPF,UBE2C,CDK1,HMMR,ANLN,PLK1,AURKA,KIF14,CCNB1,BUB1B,CDC20,CENPE,CDC6"
"go-bp_2021_gene_set (1)","mitotic cell cycle phase transition (GO:0044772)","GO:0044772","0.000004181275287168052","5.378691238390203","209","107","13","14937","NEK2,INHBA,PKMYT1,UBE2C,PPP1R12B,CDK1,PLK1,AURKA,MELK,CDKN3,CCNB2,FOXM1,CCNB1"
"go-bp_2021_gene_set (1)","cellular response to alcohol (GO:0097306)","GO:0097306","0.000008093086233609253","5.091885832079815","48","628","14","14937","SFRP1,RAD51,KLF9,CES1,AKR1C2,TNFSF4,PTGFR,GPLD1,PTGER4,BLM,GNAI1,PTCH1,AKR1C3,ADCY5"
"go-bp_2021_gene_set (1)","regulation of cytokinesis (GO:0032465)","GO:0032465","0.000013968053355812394","4.854864114697309","84","297","13","14937","KIF20A,PLK1,AURKA,KLHL13,KIF14,CDC6,KIF23,PRC1,CIT,AURKB,CDC14B,ECT2,RACGAP1"
"go-bp_2021_gene_set (1)","cellular response to ketone (GO:1901655)","GO:1901655","0.000016417653152998506","4.784688923681032","39","699","13","14937","SFRP1,PCK1,KLF9,AKR1C2,AQP1,TNFSF4,PTGFR,NR3C1,PTGER4,GNAI1,AKR1C3,ADCY5,SPP1"
"go-bp_2021_gene_set (1)","negative regulation of angiogenesis (GO:0016525)","GO:0016525","0.000018233996333141542","4.739118136873068","87","856","21","14937","SPRY2,HOXA5,TNMD,ADAMTS1,NPR1,CLDN5,CXCL10,ISM1,PPARG,SULF1,E2F2,KLF4,SEMA6A,ECSCR,DCN,CREB3L1,PDE3B,TEK,FOXC1,EFNA3,KLF2"
"go-bp_2021_gene_set (1)","muscle contraction (GO:0006936)","GO:0006936","0.000020300420135092747","4.692494973886575","129","734","24","14937","FXYD1,LMOD1,DMD,MYH11,KCNIP2,CRYAB,OXTR,MYOM1,MYLK,TMOD1,ACTG2,SCN4A,SORBS1,CKMT2,TNNT3,TNNT1,MYH3,SSPN,DES,CASQ2,MYL9,MYBPC1,MYOM2,ACTA2"
"go-bp_2021_gene_set (1)","cytoskeleton-dependent cytokinesis (GO:0061640)","GO:0061640","0.000021907556710757184","4.659406055401632","72","297","12","14937","KIF4A,KIF20A,CEP55,NUSAP1,ANLN,PLK1,KIF23,CIT,AURKB,ECT2,ESPL1,RACGAP1"
"go-bp_2021_gene_set (1)","regulation of cell cycle G2/M phase transition (GO:1902749)","GO:1902749","0.00003930631456698601","4.405537674527785","85","86","8","14937","NEK2,TPX2,CENPF,CDK1,HMMR,PLK1,AURKA,KIF14"
"go-bp_2021_gene_set (1)","G2/M transition of mitotic cell cycle (GO:0000086)","GO:0000086","0.00004088318754616402","4.388455250844426","130","107","10","14937","NEK2,PKMYT1,PPP1R12B,CDK1,PLK1,AURKA,MELK,CCNB2,FOXM1,CCNB1"
"go-bp_2021_gene_set (1)","mitotic chromosome condensation (GO:0007076)","GO:0007076","0.00004100258262853575","4.387188787524231","27","291","8","14937","CDK1,NUSAP1,NCAPG,PLK1,CCNB1,CDCA5,NCAPH,SMC4"
"go-bp_2021_gene_set (1)","cell cycle G2/M phase transition (GO:0044839)","GO:0044839","0.000044000210947676155","4.35654524139581","131","107","10","14937","NEK2,PKMYT1,PPP1R12B,CDK1,PLK1,AURKA,MELK,CCNB2,FOXM1,CCNB1"
