geneSet,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:0030198,extracellular matrix organization (GO:0030198),299,62,20.67952986,2.998133924,3.00E-15,1.80E-11,2934;8728;6696;79625;1511;2335;3918;3909;3908;667;3914;23768;2247;255743;2201;10319;10516;1308;1281;3679;1842;2824;3038;4314;4318;4320;101;25818;5650;11096;4148;1462;1278;3384;10631;5212;633;1634;1277;1290;1289;283208;4921;7373;1303;84171;140766;1300;1288;1805;1301;4237;8038;64093;54507;1311;58494;79148;170692;7450;9510;90993,COL10A1;MMP11;COL11A1;ADAMTS5;COMP;FN1;VIT;DST;ADAMTS14;LOXL4;HAS3;ADAMTS1;FGF2;ITGA7;POSTN;P4HA3;GSN;JAM2;MATN3;BGN;MFAP2;ADAM8;ADAM19;COL17A1;DPT;LAMB3;VCAN;COL5A2;COL5A1;FBN2;GPM6B;FLRT2;FBLN5;MMP3;MMP9;SMOC1;ADAMTS18;SPP1;LAMA3;ADAMTSL4;DCN;CREB3L1;VWF;COL12A1;ICAM2;ECM2;MMP28;KLK5;DDR2;NPNT;CTSG;COL4A6;ADAM12;KLK7;LAMA2;COL14A1;NDNF;LAMC3;LAMC2;COL1A1;COL3A1;COL1A2
GO:0043062,extracellular structure organization (GO:0043062),215,48,14.86989605,3.227998355,2.42E-13,5.82E-10,8728;6696;79625;2335;3918;3909;3908;3914;2247;255743;2201;10319;10516;1308;1281;3679;1842;4314;4318;4320;11096;4148;1462;1278;3384;10631;5212;633;1634;1277;1290;1289;4921;7373;140766;1300;1288;1301;4237;8038;64093;54507;1311;58494;79148;170692;7450;9510,COL10A1;MMP11;COL11A1;ADAMTS5;COMP;FN1;VIT;ADAMTS14;ADAMTS1;FGF2;ITGA7;POSTN;JAM2;MATN3;BGN;MFAP2;ADAM19;COL17A1;LAMB3;VCAN;COL5A2;COL5A1;FBN2;FBLN5;MMP3;MMP9;SMOC1;ADAMTS18;SPP1;LAMA3;ADAMTSL4;DCN;VWF;ICAM2;ECM2;MMP28;DDR2;NPNT;COL4A6;ADAM12;LAMA2;COL14A1;NDNF;LAMC3;LAMC2;COL1A1;COL3A1;COL1A2
GO:0045229,external encapsulating structure organization (GO:0045229),216,48,14.93905836,3.213053918,2.91E-13,5.82E-10,8728;6696;79625;2335;3918;3909;3908;3914;2247;255743;2201;10319;10516;1308;1281;3679;1842;4314;4318;4320;11096;4148;1462;1278;3384;10631;5212;633;1634;1277;1290;1289;4921;7373;140766;1300;1288;1301;4237;8038;64093;54507;1311;58494;79148;170692;7450;9510,COL10A1;MMP11;COL11A1;ADAMTS5;COMP;FN1;VIT;ADAMTS14;ADAMTS1;FGF2;ITGA7;POSTN;JAM2;MATN3;BGN;MFAP2;ADAM19;COL17A1;LAMB3;VCAN;COL5A2;COL5A1;FBN2;FBLN5;MMP3;MMP9;SMOC1;ADAMTS18;SPP1;LAMA3;ADAMTSL4;DCN;VWF;ICAM2;ECM2;MMP28;DDR2;NPNT;COL4A6;ADAM12;LAMA2;COL14A1;NDNF;LAMC3;LAMC2;COL1A1;COL3A1;COL1A2
GO:1902850,microtubule cytoskeleton organization involved in mitosis (GO:1902850),128,31,8.852775324,3.501726731,5.05E-10,7.59E-07,991;701;4085;6790;9212;5347;891;24137;81930;11004;1062;3832;9700;83540;10403;1063;11130;699;332;9787;64105;79019;6491;51203;55143;10460;284403;220134;57405;54821;7272,KIF4A;NUF2;CENPF;BUB1;SPC25;CDCA8;DLGAP5;ERCC6L;NUSAP1;ZWINT;NDC80;PLK1;AURKA;KIF2C;CCNB1;BIRC5;BUB1B;KIF11;SKA1;CDC20;CENPE;TTK;AURKB;CENPM;KIF18A;TACC3;STIL;WDR62;ESPL1;MAD2L1;CENPK
GO:0045765,regulation of angiogenesis (GO:0045765),200,38,13.83246144,2.7471611,9.67E-09,1.16E-05,2152;5468;10563;3952;2246;3569;51129;3627;57556;358;947;3202;7122;5740;1944;4881;2247;168667;23213;10411;6422;3373;57381;7010;79924;2296;9314;10253;5140;1634;306;26051;64102;8038;9510;641700;140862;126393,SPRY2;HOXA5;LEP;FGF1;TNMD;HSPB6;SFRP1;ADAMTS1;FGF2;NPR1;CLDN5;RAPGEF3;CXCL10;ISM1;BMPER;AQP1;PPARG;RHOJ;SULF1;F3;KLF4;HYAL1;SEMA6A;CD34;ANGPTL4;ECSCR;PPP1R16B;ADM2;DCN;IL6;PTGIS;ANXA3;PDE3B;ADAM12;TEK;FOXC1;EFNA3;CXCL13
GO:0007052,mitotic spindle organization (GO:0007052),157,32,10.85848223,2.947004868,2.51E-08,2.51E-05,22974;991;701;4085;6790;9212;5347;891;24137;9493;81930;11004;1062;3832;83540;10403;1063;11130;699;332;9787;64105;79019;6491;55143;284403;220134;57405;54821;7272;3833;9055,KIF4A;TPX2;NUF2;CENPF;BUB1;SPC25;CDCA8;DLGAP5;ERCC6L;ZWINT;NDC80;PLK1;AURKA;KIF2C;CCNB1;BIRC5;BUB1B;KIF11;KIFC1;SKA1;CDC20;CENPE;KIF23;PRC1;TTK;AURKB;CENPM;KIF18A;STIL;WDR62;MAD2L1;CENPK
GO:0008284,positive regulation of cell population proliferation (GO:0008284),471,65,32.5754467,1.995367879,6.06E-08,5.21E-05,2255;2252;4916;4915;1956;3479;150;2246;3084;7048;9928;3569;7292;51085;5737;5744;2350;358;4057;650;7122;8644;1378;2335;6664;6285;8660;3918;51176;1906;1907;2247;7049;654;4212;10763;1646;6422;130497;3373;6376;8317;1869;2305;57111;55022;4680;332;8013;3590;146433;3977;85480;2146;4921;5764;348093;89958;219790;7272;9055;4072;3226;80310;11082,TSLP;NTRK2;IL11RA;CX3CL1;FN1;KIF14;FGF1;FOXM1;BIRC5;S100B;LIFR;ESM1;OSR1;SFRP1;PRC1;TTK;FGF2;CLDN5;TGFBR3;EZH2;MLXIPL;TGFBR2;MEIS2;AKR1C2;AQP1;PTN;BMP2;TNFSF4;E2F1;EGFR;NES;PTGFR;RTKN2;LEF1;PID1;HYAL1;PDGFD;NTRK3;IRS2;FGF10;CDC7;AKR1C3;IL34;BMP6;CEACAM6;SAPCD2;NRG1;IGF1;IL6;EDN1;DDR2;FGF7;EDN2;FOLR2;HOXC10;ADRA2A;RBPMS2;NR4A3;CR1;PTHLH;EPCAM;LAMC2;RAB25;SOX11;LTF
GO:1901655,cellular response to ketone (GO:1901655),39,14,2.697329982,5.190317868,1.54E-07,1.16E-04,111;7292;54331;5737;5734;2770;358;6696;8644;1646;6422;5105;687;2908,SFRP1;PCK1;KLF9;AKR1C2;AQP1;TNFSF4;PTGFR;NR3C1;PTGER4;GNAI1;AKR1C3;ADCY5;SPP1;GNG2
GO:0016525,negative regulation of angiogenesis (GO:0016525),85,21,5.878796114,3.572159945,2.17E-07,1.45E-04,5468;3627;57556;3202;7122;1944;4881;10365;23213;7010;2296;9314;10253;5140;1634;1870;64102;9510;90993;641700;140862,SPRY2;HOXA5;TNMD;ADAMTS1;NPR1;CLDN5;CXCL10;ISM1;PPARG;SULF1;E2F2;KLF4;SEMA6A;ECSCR;DCN;CREB3L1;PDE3B;TEK;FOXC1;EFNA3;KLF2
GO:0000070,mitotic sister chromatid segregation (GO:0000070),101,23,6.985393029,3.292584956,2.87E-07,1.72E-04,9928;983;5347;891;9493;81930;11004;1062;9700;10403;11130;9787;64105;113130;64151;23397;10051;51203;55143;55165;3833;10615;9055,CDK1;CDCA8;CEP55;DLGAP5;NUSAP1;ZWINT;NCAPG;NDC80;PLK1;KIF2C;KIF14;CCNB1;SPAG5;KIFC1;CENPE;CDCA5;KIF23;PRC1;NCAPH;KIF18A;SMC4;ESPL1;CENPK
