,SYMBOL
0,COL10A1
1,MMP11
2,COL11A1
3,KLHL29
4,ADAMTS5
5,SEMA5B
6,CA4
7,CAPN11
8,NEK2
9,KIF4A
10,INHBA
11,SPRY2
12,HOXA4
13,FXYD1
14,PAMR1
15,CXCL2
16,MIR497HG
17,LMOD1
18,PER1
19,TPX2
20,CD300LG
21,DMD
22,SYNM
23,HLF
24,PPP1R14A
25,NUF2
26,HIF3A
27,TSLP
28,MAMDC2
29,NDRG2
30,ASF1B
31,UBE2T
32,MME
33,PKMYT1
34,KIF20A
35,ABCA10
36,RRM2
37,SCARA5
38,NTRK2
39,MYH11
40,GJB2
41,CENPF
42,IL11RA
43,BTNL9
44,UBE2C
45,HOXA5
46,HJURP
47,HPSE2
48,BUB1
49,SPC25
50,PPP1R12B
51,LYVE1
52,ATOH8
53,CDK1
54,COMP
55,CDCA8
56,CX3CL1
57,DTL
58,IQGAP3
59,CEP55
60,LEP
61,EXO1
62,DLGAP5
63,GPRASP1
64,TOP2A
65,CKAP2L
66,HMMR
67,TSHZ2
68,ERCC6L
69,MATN2
70,SCN4B
71,CKS2
72,TNXB
73,NUSAP1
74,FMO2
75,CLSPN
76,ZWINT
77,ASPM
78,ANLN
79,NCAPG
80,UHRF1
81,ADAM33
82,NDC80
83,TMEM220
84,PTTG3P
85,CBX7
86,CDCA3
87,MKI67
88,FN1
89,PLK1
90,AURKA
91,SLC50A1
92,CIDEC
93,KIF2C
94,KLHL13
96,FAM126A
97,MELK
98,KCNE1
99,KIF14
100,LRRC15
101,GPRIN1
102,CDKN3
103,SCN3A
104,ATP1A2
105,PITX1
106,ROBO3
107,GPD1
108,ITPRIPL1
109,NRG2
110,ARHGAP20
111,FGF1
112,ITIH5
113,RYR3
114,PLIN4
115,VIT
116,DEPDC1
117,CCNB2
118,DST
119,BMP8A
120,FOXM1
121,C10orf90
122,IGSF10
123,CCNB1
124,AQP7
125,SKA3
126,TROAP
127,TK1
128,CNN1
129,SAMD5
130,GIPC2
131,SPAG5
132,BIRC5
133,GPIHBP1
134,BUB1B
135,PTTG1
136,KIF11
137,KIFC1
138,CHL1
139,SKA1
140,FOSB
141,PLIN1
142,KLF15
143,S100B
144,CDC20
145,FAM111B
146,TNMD
147,FABP4
148,RERGL
149,FAM83D
150,ALDH1L1
151,PBK
152,HOTAIRM1
153,RELN
154,LIFR
155,CNTNAP3B
156,ADAMTS14
157,IGFBP6
158,ZBTB16
